Feature Set,MSE,R2 Score
H,255.2455775,0.019912852
Day,241.1275531,0.074122976
a,163.8459891,0.370867265
a Day,162.196316,0.377201649
H Day,160.8602631,0.3823318
Temp,149.8431177,0.424635227
a H,137.450906,0.472218607
H Temp,131.5350871,0.494934057
S,127.0298366,0.512233233
B,125.843185,0.516789715
Day Temp,125.0674174,0.519768493
a H Day,124.3066656,0.522689613
B Day,123.9345782,0.524118347
H S,112.5138829,0.567971317
a S,112.2346186,0.569043631
a B Day,104.5368055,0.598601548
H Day Temp,104.2143152,0.599839841
H B,104.1808076,0.599968502
a H S,103.6671287,0.601940917
a B,101.7608448,0.60926063
S Day,97.74238915,0.62469062
a H S Day,95.62286973,0.632829111
a S Day,95.47891625,0.633381861
H S Day,94.79251541,0.63601749
b H,94.28149776,0.637979685
H B Day,94.26012266,0.638061761
a b,92.8220635,0.643583594
a b H,92.77315153,0.643771405
L H G,92.48807061,0.644866053
H V,92.3614369,0.645352299
G,91.7135798,0.647839928
H V G,91.50131238,0.648654989
L H R G,91.4174937,0.648976834
H G,91.35382991,0.649221289
H R,91.22322815,0.649722771
V G,91.11470771,0.650139466
H R G,90.99926152,0.650582754
V R,90.95336241,0.650758997
R G,90.79736897,0.651357977
L H V,90.73455537,0.651599168
L G,90.70492453,0.651712944
L H R,90.54783894,0.652316118
a H B,90.35309361,0.653063898
b,90.320657,0.653188447
L V G,90.20972501,0.653614402
L R G,90.1283896,0.653926712
R B,89.95338943,0.654598674
L V,89.94815596,0.65461877
L H V R,89.87599622,0.654895847
a H R,89.70866683,0.655538355
H V R G,89.70691943,0.655545065
V,89.68906937,0.655613605
L R,89.68708437,0.655621227
V R G,89.42001013,0.656646734
R,89.38118633,0.656795809
L,89.31853575,0.657036373
H R B,89.20259985,0.657481542
a S B,89.19332852,0.657517142
a H R G,89.15470661,0.657665441
L a b H R G,89.03911036,0.658109306
a b S,88.77774115,0.659112906
L a H V R G,88.6874424,0.659459634
a R G,88.59672396,0.659807973
H V R,88.4950007,0.660198568
L H V R G,88.39983981,0.660563965
L V R G,88.28296433,0.661012741
V Day,88.19775773,0.661339916
a V R,88.11175562,0.661670145
L a V R G,88.03137701,0.661978781
L V R,87.97758202,0.662185342
a H V R,87.96248588,0.662243308
a R,87.96094352,0.66224923
V B,87.9345925,0.662350412
a V R G,87.65347457,0.663429844
L a G B,87.60729786,0.663607152
a H V,87.58680672,0.663685834
L a V R,87.44674154,0.664223653
a H B Day,87.42226987,0.664317619
a b H V B,87.35549371,0.664574025
L a R,87.35377955,0.664580607
L a G,87.31945684,0.664712399
a b Day,87.2262837,0.665070163
L a b H V R,87.19387296,0.665194613
L H,87.17118364,0.665281735
L a b V R G,87.13494382,0.665420888
L a V G,86.93103396,0.666203858
R G B,86.8765752,0.666412967
S B,86.87468202,0.666420237
a H G,86.86118564,0.66647206
a H R G B,86.85498295,0.666495877
a b R,86.85079413,0.666511961
L a R G,86.81620843,0.666644763
a H V R B,86.7851264,0.666764111
L H V G,86.71577416,0.667030408
L a H V R,86.63604162,0.667336564
L R G B,86.54318476,0.667693114
a V,86.5267969,0.667756039
L G B,86.52617892,0.667758412
a b H R G B,86.51939899,0.667784446
a V G,86.50506084,0.667839501
L R B,86.50208231,0.667850938
H V B,86.47982873,0.667936387
a H V R G,86.46954302,0.667975882
L V R B,86.45574143,0.668028877
L a V,86.42117552,0.668161602
V R B,86.39234826,0.668272293
L V R G B,86.38773675,0.66829
H V R B,86.24364847,0.668843267
a b R G B,86.18126279,0.669082815
L a H B,86.17869549,0.669092673
L a H V R G B,86.00858295,0.669745868
a S V G B,85.9947351,0.66979904
L a V R G B,85.98997708,0.66981731
L H B,85.97422709,0.669877787
a G B,85.86854709,0.670283575
L a b S R G B,85.85753469,0.67032586
H R G B,85.83632141,0.670407314
L a b H S V G,85.78191739,0.670616214
L a,85.73013523,0.670815046
L a R B,85.71662857,0.670866908
a R G B,85.71094493,0.670888732
L a H R,85.7037036,0.670916538
G B,85.69911965,0.670934139
a H V B,85.69530669,0.67094878
L H R B,85.66108406,0.671080187
L a b H V R G B,85.65281777,0.671111928
G Day,85.6377107,0.671169936
L a H G,85.61564696,0.671254656
H G Day,85.5778445,0.671399809
b H V R B,85.57379643,0.671415353
a b H V,85.55858672,0.671473755
a b G,85.55078901,0.671503696
a H V G B,85.55003176,0.671506604
L a V R B,85.54330254,0.671532442
L a H R G B,85.54309451,0.671533241
L a H V,85.54003239,0.671544999
L H R G B,85.53461838,0.671565788
L a V G B,85.52003522,0.671621784
a b H R G,85.50701763,0.671671769
L H G B,85.49503057,0.671717796
L a H,85.47175482,0.67180717
L a H V G,85.43798229,0.671936849
L H V B,85.33107156,0.672347363
V R G Day,85.32986691,0.672351989
V G B,85.31586227,0.672405763
a S R B,85.30805589,0.672435738
L b H R G B,85.29210518,0.672496985
L a H G B,85.27394994,0.672566698
a b V R,85.27196403,0.672574323
a b H V G B,85.25116472,0.672654188
H V R G B,85.24249708,0.67268747
L H V R B,85.24176628,0.672690276
S R,85.23550371,0.672714323
a H V G,85.22957562,0.672737085
L B,85.21919412,0.672776948
L a H R G,85.19970208,0.672851793
L a b V R G B,85.17564215,0.672944178
L a V B,85.14754041,0.673052082
a R B,85.05736263,0.673398345
L a R G B,85.05701844,0.673399667
L a H S V,85.0412538,0.6734602
V R G B,85.02782423,0.673511766
a G,84.99327284,0.673644436
L V G B,84.92299056,0.673914305
a S V R G B,84.89432463,0.674024376
L a b S G B,84.86331638,0.674143441
b Day,84.85595713,0.674171698
L a b V,84.85304962,0.674182863
a S G B,84.84713006,0.674205592
H S V B,84.8370884,0.67424415
H S B,84.83617833,0.674247645
H G B,84.80356335,0.674372879
L a H V R B,84.75620838,0.674554712
a H V R G B,84.75247868,0.674569033
H S R B,84.71555562,0.674710809
a V R B,84.66951621,0.674887591
a b R G,84.6043432,0.675137841
L V B,84.57626635,0.67524565
L a B,84.5654766,0.67528708
L a S R G B,84.55840494,0.675314234
L a b R,84.53370936,0.675409059
a b H R B,84.52155829,0.675455717
a V G B,84.45008769,0.675730148
L b H V B,84.33979147,0.676153662
a H G B,84.31661489,0.676242655
a b H V R B,84.28200897,0.676375534
L a H V G B,84.27546339,0.676400667
L b V R G B,84.24552511,0.676515624
a b V R G B,84.23312026,0.676563256
a H S B,84.22271676,0.676603203
L a S V R B,84.15764094,0.67685308
b H Day,84.12752155,0.676968732
L a S B,84.10475714,0.677056142
L a H S V R,84.09023541,0.677111902
R G Day,84.04646783,0.67727996
L a H R B,84.03415336,0.677327245
L a b V R,84.03334444,0.677330351
L a b H S R G B,83.9670318,0.677584977
L V Day,83.95072352,0.677647597
S R B,83.95002566,0.677650277
a V R G B,83.94727328,0.677660845
L Day,83.93191441,0.67771982
L a H V B,83.86216937,0.677987626
a b V R G,83.85219052,0.678025942
a b H Day,83.8476285,0.67804346
L a b H V G,83.83753644,0.678082211
a H S G B,83.81484983,0.678169323
b H R G B,83.81061945,0.678185566
L a b H,83.80320525,0.678214035
a b H S V G,83.79559801,0.678243245
b S,83.78676228,0.678277173
