Feature_Groups,RMSE,R2_Score,MSE
RGB,4.660426760129439,0.09786914877111741,21.71957758653058
LAB,4.102971004888957,0.3007780450593498,16.834371066959495
HSV,4.450615901359334,0.1772679969177956,19.80798190143256
GLCM,4.924087389994045,-0.007093201982005803,24.246636624298365
LBP,4.357196711733587,0.21144408281715743,18.985163184741985
Yellow,7.47279925317615,-1.3194488086505376,55.84272867827002
Cyan,5.051051586262745,-0.059697155265546975,25.513122127087392
Magenta,5.359847334620457,-0.19322680279417348,28.72796345043802
Brightness,5.332708186207534,-0.18117378242398585,28.437776599244845
Chroma,6.591290603703951,-0.8045091141390317,43.445111822475994
RGB + LAB,4.021265131246264,0.328349137639772,16.170573255777036
RGB + HSV,4.402889928473743,0.1948184457818416,19.385439722255526
RGB + GLCM,4.554590343367297,0.1383779539727561,20.744293195894635
RGB + LBP,4.421482214093168,0.18800393382357872,19.549504969542227
RGB + Yellow,4.660426760129445,0.09786914877111508,21.719577586530637
RGB + Cyan,4.660426760129474,0.09786914877110375,21.719577586530907
RGB + Magenta,4.66042676012937,0.09786914877114394,21.71957758652994
RGB + Brightness,4.660426760129455,0.09786914877111141,21.719577586530725
RGB + Chroma,4.508166364438888,0.15585310116058193,20.323563969458142
LAB + HSV,4.000949472303282,0.3351184312192165,16.007596679923914
LAB + GLCM,3.9985651904911874,0.3359106395137279,15.988523582607826
LAB + LBP,3.742080199262456,0.41837328993651046,14.003164217712143
LAB + Yellow,4.10331142358134,0.3006620129948946,16.837164638893128
LAB + Cyan,4.001786551751083,0.3348401888060284,16.014295605775825
LAB + Magenta,4.084720535249488,0.3069846439296444,16.684941851088865
LAB + Brightness,4.051283630342674,0.3182840441872028,16.412899053482512
LAB + Chroma,4.168765521235247,0.2781730429440743,17.378605971039775
HSV + GLCM,4.451072534836823,0.17709916354430777,19.8120467103787
HSV + LBP,4.127686054343227,0.29232887306252353,17.037792163219564
HSV + Yellow,4.507415216691851,0.15613438013968728,20.316791935665243
HSV + Cyan,4.39796670822191,0.19661811369042836,19.342111166628264
HSV + Magenta,4.262690226016665,0.2452802641665921,18.17052796297801
HSV + Brightness,4.499479792653371,0.15910306022829102,20.24531840449603
HSV + Chroma,4.519519482066578,0.15159604150860928,20.426056348779344
GLCM + LBP,4.44492985327232,0.1793688771107793,19.757401400511483
GLCM + Yellow,4.910273494712487,-0.001450586433753509,24.11078579287598
GLCM + Cyan,4.915814631640641,-0.0037120921905253734,24.165233492652217
GLCM + Magenta,4.715126072300482,0.07656829989228808,22.232413877687765
GLCM + Brightness,4.7230248386784055,0.07347184793168304,22.306963626773182
GLCM + Chroma,4.951534542332175,-0.01835168582255986,24.517694323908703
LBP + Yellow,4.1362404085409405,0.28939263115421865,17.108484717246927
LBP + Cyan,4.383550426969754,0.20187636041708135,19.215514345786712
LBP + Magenta,4.305434935184863,0.23006826373715705,18.536769981110282
LBP + Brightness,4.353855899772472,0.21265284490226244,18.95606119598356
LBP + Chroma,4.349295433364122,0.21430140186101543,18.916370766682004
Yellow + Cyan,5.374681353574406,-0.19984073853507867,28.88719965246041
Yellow + Magenta,5.074788123214301,-0.06968028158844031,25.75347449551693
Yellow + Brightness,5.158155773682069,-0.10511396623012126,26.606570985569668
Yellow + Chroma,5.694922121362286,-0.34708108921662384,32.43213796838152
Cyan + Magenta,5.222517490306684,-0.1328644974476938,27.274688936559222
Cyan + Brightness,5.273536016685066,-0.15510640886727223,27.810182119274586
Cyan + Chroma,5.17443400730755,-0.112100063454172,26.77476729598087
Magenta + Brightness,5.448513589128832,-0.23303168676626274,29.686300330921547
Magenta + Chroma,5.177785321515248,-0.11354107271842473,26.809460835698765
Brightness + Chroma,5.249826039595291,-0.14474297196791697,27.560673446012782
RGB + LAB + HSV,3.915816194131312,0.36311245373079004,15.33361646622103
RGB + LAB + GLCM,3.9725669256774823,0.3445182485132532,15.781287978986644
RGB + LAB + LBP,3.6411019633882686,0.44933960466286293,13.257623507789903
RGB + LAB + Yellow,4.021265131246445,0.3283491376397115,16.170573255778493
RGB + LAB + Cyan,4.021265131246652,0.32834913763964246,16.170573255780155
RGB + LAB + Magenta,4.0212651312454275,0.3283491376400517,16.170573255770304
RGB + LAB + Brightness,4.021265131246139,0.328349137639814,16.170573255776027
RGB + LAB + Chroma,4.024488432801429,0.3272719637331417,16.196507145752506
RGB + HSV + GLCM,4.200061044388843,0.2672946449414071,17.640512776592693
RGB + HSV + LBP,3.8500092513873634,0.38433891022737976,14.822571235768287
RGB + HSV + Yellow,4.402889928473817,0.1948184457818145,19.385439722256177
RGB + HSV + Cyan,4.402889928473822,0.1948184457818125,19.385439722256223
RGB + HSV + Magenta,4.402889928473694,0.19481844578185947,19.385439722255093
RGB + HSV + Brightness,4.402889928473744,0.19481844578184127,19.38543972225553
RGB + HSV + Chroma,4.411174429731135,0.1917855272410498,19.458459849513808
RGB + GLCM + LBP,4.163887311891426,0.2798613906119103,17.337957546130408
RGB + GLCM + Yellow,4.554590343367345,0.1383779539727379,20.744293195895075
RGB + GLCM + Cyan,4.554590343367311,0.1383779539727512,20.744293195894755
RGB + GLCM + Magenta,4.55459034336736,0.13837795397273256,20.744293195895203
RGB + GLCM + Brightness,4.554590343367325,0.13837795397274555,20.74429319589489
RGB + GLCM + Chroma,4.395103040934939,0.19766399219451236,19.31693074043555
RGB + LBP + Yellow,4.421482214096444,0.1880039338223758,19.54950496957119
RGB + LBP + Cyan,4.421482214130485,0.18800393380987257,19.549504969872217
RGB + LBP + Magenta,4.421482214093864,0.18800393382332325,19.549504969548376
RGB + LBP + Brightness,4.421482214072293,0.18800393383124603,19.54950496935763
RGB + LBP + Chroma,4.2528701430485345,0.24875359818365617,18.086904453633665
RGB + Yellow + Cyan,4.660426760129401,0.09786914877113195,21.719577586530228
RGB + Yellow + Magenta,4.660426760129423,0.09786914877112374,21.719577586530427
RGB + Yellow + Brightness,4.66042676012947,0.09786914877110564,21.719577586530864
RGB + Yellow + Chroma,4.508166364438939,0.15585310116056283,20.3235639694586
RGB + Cyan + Magenta,4.660426760129374,0.09786914877114283,21.71957758652997
RGB + Cyan + Brightness,4.660426760129445,0.09786914877111508,21.719577586530637
RGB + Cyan + Chroma,4.508166364438896,0.15585310116057904,20.32356396945821
RGB + Magenta + Brightness,4.660426760129464,0.09786914877110775,21.719577586530814
RGB + Magenta + Chroma,4.508166364438859,0.15585310116059292,20.323563969457876
RGB + Brightness + Chroma,4.508166364438879,0.15585310116058515,20.323563969458064
LAB + HSV + GLCM,3.94257659089866,0.3543778251752785,15.5439101751021
LAB + HSV + LBP,3.46633932231566,0.5009313286538313,12.015508297431788
LAB + HSV + Yellow,4.0051084722325445,0.33373541968363385,16.04089387434891
LAB + HSV + Cyan,3.971209236603196,0.344966214955738,15.77050280088254
LAB + HSV + Magenta,3.9587942798303595,0.3490553998910808,15.672052150017574
LAB + HSV + Brightness,3.9539496733496073,0.3506476224729471,15.633718019381465
LAB + HSV + Chroma,3.9877858571178573,0.3394863179896357,15.902436042229205
LAB + GLCM + LBP,3.502784898611396,0.49038160246161155,12.269502045940047
LAB + GLCM + Yellow,3.994074135904923,0.33740156764699225,15.95262820310466
LAB + GLCM + Cyan,3.932758500590239,0.35758937175178385,15.466589423964784
LAB + GLCM + Magenta,4.029665637866348,0.3255400212667846,16.2382051530008
LAB + GLCM + Brightness,4.005261653756976,0.33368445408482195,16.042120915056064
LAB + GLCM + Chroma,4.023175609124332,0.32771079180261575,16.185941981852938
LAB + LBP + Yellow,3.67195222511034,0.4399688233071386,13.483233143492775
LAB + LBP + Cyan,3.568320673499822,0.47113367733019096,12.732912428926225
LAB + LBP + Magenta,3.7901834651542554,0.40332392278552787,14.365490699528719
LAB + LBP + Brightness,3.762856605122011,0.4118968607600201,14.159089830710345
LAB + LBP + Chroma,3.8156866684201507,0.3952671373357427,14.55946475155927
LAB + Yellow + Cyan,3.9795446240535237,0.34221355692643807,15.836775414833303
LAB + Yellow + Magenta,4.129250841509717,0.29179222149574713,17.050712512108703
LAB + Yellow + Brightness,4.062156066522238,0.31462008995398183,16.50111190878342
LAB + Yellow + Chroma,4.181087528123846,0.27389959478326553,17.481492917832767
LAB + Cyan + Magenta,4.015528775290982,0.33026399789317973,16.1244713451899
LAB + Cyan + Brightness,4.001847169339714,0.3348200374617891,16.014780766752285
LAB + Cyan + Chroma,3.9679336727559797,0.3460463494839767,15.744497631390757
LAB + Magenta + Brightness,4.018754178972372,0.3291876581896085,16.150385151007907
LAB + Magenta + Chroma,4.168653070816807,0.27821198427967664,17.377668424830393
