,Total area (cm2),Label
0,262.235,0_5_7_1
1,215.414,0_5_7_1
2,215.536,0_5_7_1
3,262.235,1_5_7_1
4,215.414,1_5_7_1
5,215.536,1_5_7_1
6,262.235,2_5_7_1
7,215.414,2_5_7_1
8,215.536,2_5_7_1
9,262.235,3_5_7_1
10,215.414,3_5_7_1
11,215.536,3_5_7_1
12,262.235,4_5_7_1
13,215.414,4_5_7_1
14,215.536,4_5_7_1
15,262.235,5_5_7_1
16,215.414,5_5_7_1
17,215.536,5_5_7_1
18,262.235,6_5_7_1
19,215.414,6_5_7_1
20,215.536,6_5_7_1
21,154.668,0_10_7_2
22,246.67,0_10_7_2
23,173.288,0_10_7_2
24,154.668,1_10_7_2
25,246.67,1_10_7_2
26,173.288,1_10_7_2
27,154.668,2_10_7_2
28,246.67,2_10_7_2
29,173.288,2_10_7_2
30,154.668,3_10_7_2
31,246.67,3_10_7_2
32,173.288,3_10_7_2
33,154.668,4_10_7_2
34,246.67,4_10_7_2
35,173.288,4_10_7_2
36,154.668,5_10_7_2
37,246.67,5_10_7_2
38,173.288,5_10_7_2
39,154.668,6_10_7_2
40,246.67,6_10_7_2
41,173.288,6_10_7_2
42,262.946,0_15_10_1
43,191.097,0_15_10_1
44,242.626,0_15_10_1
45,262.946,1_15_10_1
46,191.097,1_15_10_1
47,242.626,1_15_10_1
48,262.946,2_15_10_1
49,191.097,2_15_10_1
50,242.626,2_15_10_1
51,262.946,3_15_10_1
52,191.097,3_15_10_1
53,242.626,3_15_10_1
54,262.946,4_15_10_1
55,191.097,4_15_10_1
56,242.626,4_15_10_1
57,262.946,5_15_10_1
58,191.097,5_15_10_1
59,242.626,5_15_10_1
60,262.946,6_15_10_1
61,191.097,6_15_10_1
62,242.626,6_15_10_1
63,275.15,0_20_4_1
64,258.952,0_20_4_1
65,224.83,0_20_4_1
66,275.15,1_20_4_1
67,258.952,1_20_4_1
68,224.83,1_20_4_1
69,275.15,2_20_4_1
70,258.952,2_20_4_1
71,224.83,2_20_4_1
72,275.15,3_20_4_1
73,258.952,3_20_4_1
74,224.83,3_20_4_1
75,275.15,4_20_4_1
76,258.952,4_20_4_1
77,224.83,4_20_4_1
78,275.15,5_20_4_1
79,258.952,5_20_4_1
80,224.83,5_20_4_1
81,275.15,6_20_4_1
82,258.952,6_20_4_1
83,224.83,6_20_4_1
