Label,R_Mean,R_Std,G_Mean,G_Std,B_Mean,B_Std,H_Mean,H_Std,S_Mean,S_Std,V_Mean,V_Std,L_Mean,L_Std,A_Mean,A_Std,B_Lab_Mean,B_Lab_Std
0_5_1,202.0310167567592,63.18479062019443,206.36127120087494,55.76186887034828,195.55256595578743,74.08719398771372,48.603222432139276,56.316379345199465,26.94252798022447,50.14670812442365,207.00386176402037,55.87093321484005,208.44228947038152,55.78484631866578,124.3887670100043,7.205788530535367,133.45880082831326,10.99518074386262
0_5_2,186.3438033943811,50.15763325420664,190.14014159315835,42.943363172085796,179.94035987700804,60.86472742643664,82.194853129034,56.36553543112852,26.102711123511906,46.39580579405829,191.53782871441123,43.58992322816113,194.23142049223682,44.078120624108614,124.67903337681082,7.1024678804630925,133.180902740426,10.819255482103591
0_5_3,200.1860043970525,63.267489729126055,205.08468281608577,55.52614122109767,192.54353871961058,75.30974576617524,49.77867367909137,55.02485568501065,29.42178978189544,51.41260567113176,205.74456968498995,55.674111413434645,207.10159858182732,55.53187411588482,123.90217785203313,7.5992350293600275,134.27723460807516,11.895209130839387
0_5_4,191.90076954021444,47.39568128350391,195.4625754132602,40.20240301041249,185.77701413914588,58.79621579699254,76.49016983111015,55.59464895177239,23.881440157953243,46.197144022765976,196.75571857743475,40.762828496500035,199.40793312759968,41.24014463464592,124.90544449001364,7.067376884383273,132.87414664237306,11.040859796918252
0_5_5,196.73097479202525,63.359484207277944,201.36995913340863,56.04306004008035,190.1454214738418,73.8547664136273,58.07530294167743,56.11336301023618,28.06742533751076,47.393401806126654,202.24524056045612,56.26592048443143,203.74161147939975,56.03843240653515,124.1428830276463,7.138454144599778,133.66640333656053,10.81482506791038
0_5_6,200.0262328331182,58.35911997570122,204.43794637254376,51.02384396925856,192.28070720381527,71.10785005082784,54.2375040900208,56.63356070603482,27.832183589267785,51.10132192437828,205.2182915254769,51.1888194119578,206.89945922081182,51.08240276145753,124.20119613498638,7.51335489188845,134.0732824153758,12.259326579294965
0_5_7,204.95105746647303,58.5311802318316,209.3763515557767,50.840914241201034,196.33824113417958,73.68195326781904,47.94002976190476,55.33916614912545,29.26064968579676,57.82495481566398,210.0446707029009,50.93167904220857,211.43483078519435,50.963379732564235,124.15800882099828,8.02239655458058,134.44060567044966,13.719037726007818
0_5_8,207.13408208727768,53.34184337563203,211.9978386761331,44.76322460452915,196.44106033509036,71.96319032072117,45.65203184389343,54.31298259651415,31.12626017462708,60.09167017479796,212.63357940691338,44.84541533402964,213.97091328483577,45.08063102625313,123.68919203600115,8.734789042256267,135.6004674949799,15.352242587615153
0_5_9,203.83685170368977,53.31921349949316,208.42362250340648,45.43950657930476,194.71414990318416,69.11067582890566,51.02331513554217,55.038359689030735,28.61301629509108,55.17648477720087,209.159403910284,45.55795174376989,210.78332957947865,45.68268300529976,124.00609547565261,8.215600648867245,134.73628784109653,13.98739286865309
0_5_10,206.34820414470383,56.95375031177934,210.77951062060743,49.23392071518045,197.03140771792528,72.68671044094226,45.120587651947076,54.0737497403635,29.425175478700517,56.50940128389566,211.47264919051204,49.31063366157867,212.76520496046686,49.30920709851413,124.04010836874284,8.10117789824841,134.80218216616467,13.876464394284982
0_10_1,202.0490526279224,60.442954251687674,206.20509437302783,53.342375652642254,195.74596090836562,71.01788371652543,51.57371270797476,55.89334256717667,25.159236723680436,46.481583228727736,206.92564639136904,53.50232722792155,208.50068561074656,53.24709693442845,124.50828240417026,6.955935258606428,133.2570834677998,10.639158784237924
0_10_2,196.950389392391,55.41637802654296,200.488837044607,48.64446512830208,191.1504679432014,65.58479259857052,68.1507356994944,58.21763070054863,23.816708687428285,44.7043458098642,201.62473807058592,48.97728818248016,203.66509772348323,48.872054785472535,124.91150758166596,6.709653170224668,132.7449658567305,10.301392907328735
0_10_3,194.80136774777682,62.14389652573891,200.1167532854633,54.01309988464201,186.3288651256813,74.8982896619654,60.87521178463856,56.328986607440974,32.262281267928856,52.696085305248076,201.0418223115677,54.296912956489514,202.4698685366466,54.266570841463015,123.51343174035428,7.97880937568591,134.90455779591582,12.549678553302307
0_10_4,189.4259850787077,49.015872724918175,193.30328238175917,42.01821225755093,183.16231533275962,60.36006655516866,80.35750350733291,52.690730912698086,25.003259130271086,45.18182652184783,194.68027483819205,42.676495292798194,197.2233251084696,42.95463239825632,124.67957062625503,7.067848453981402,133.09059099119693,11.115503806905853
0_10_5,194.5856006615749,55.89999856959641,198.82922947369838,48.44254406332941,187.5813501774957,67.66734683398464,69.88105513572145,57.609481150509744,27.171411539013196,48.58334191191046,199.99540365703888,48.81152369843682,201.93390223841797,48.75441266823656,124.3499824633355,7.42767991876589,133.6583692470776,11.56443582399571
0_10_6,212.91870052755667,52.529004458318006,216.19372848537006,45.87692398970269,205.96798292500358,65.6790163594727,42.815574126864604,55.54578697107086,21.996538777879376,48.336765583491285,216.85318948786218,45.86743157549027,218.26017613982717,45.587756446621924,125.03786955859151,7.034204579647002,133.08056651830537,11.953433153727783
0_10_7,208.86615575023308,59.073678321992745,212.9586326892391,51.60387388366289,201.8756528345525,71.58802771295852,45.676509161646585,55.53813552241005,25.579345955249572,50.7164072278745,213.58456353315046,51.676162391931804,214.7910866120733,51.55562267706972,124.50430578340146,7.3832816699240755,133.5449903408276,11.815929408191769
0_10_8,208.7253237279475,53.146827400599065,212.3618827430257,45.91222663872132,201.32935889764414,66.91268330772704,51.85954375537866,57.979135181532726,24.363982268359152,51.025836790418325,213.13966149194994,46.02438857316976,214.65503739287507,46.0264521001811,124.75476504231212,7.41967712966123,133.488239117183,12.509287013806368
0_10_9,212.14130041370842,54.771273072223046,216.0130783737629,47.23696929128137,204.5881010089465,68.86618052894056,42.36207441372633,55.00698097750497,24.454802188665376,51.33240792851738,216.61101341750933,47.256599205066195,217.86537713353414,47.103931903850885,124.61332164595883,7.548036730392345,133.65721860656913,12.651853564546823
0_10_10,207.23283407065765,51.310286650622814,211.22825195872778,43.87335124522752,198.49350056475905,67.45314032758955,55.66081558376363,56.930033628306674,26.888598758874785,54.49194774565557,212.0798900960987,44.00257865987983,213.59173827004446,44.04086340841574,124.39994514889918,7.863540567919895,134.27661101997276,13.873385900576476
0_15_1,196.2077757458405,59.22762604710448,200.97889582885114,51.44962175774597,188.14908607644867,71.64230350389977,58.73851421310241,57.6830727523128,29.29946919373924,49.931783625507926,201.88851947970454,51.69036196205454,203.58748397608292,51.49964989044328,123.90148372507889,7.68907355508785,134.43238652153255,12.031040852073462
0_15_2,199.2151128509574,55.76342934055062,202.7465685285786,48.94959292488245,193.74251274069493,65.53425335733277,69.16537808600474,58.64201257858023,22.859741252958262,43.38978396772459,203.88522908598682,49.26479179629376,205.7528046897411,49.10651504683152,124.97361908571787,6.741870581967775,132.56099974675487,10.21702650470679
0_15_3,202.41848851880738,50.97238130295428,205.89406196213426,44.18771338755349,196.26192582831325,62.37147286157864,66.16923475150602,58.87325435374682,22.260050189597678,44.32480430015594,206.97237319814974,44.41133142110675,208.90018136160714,44.27331073942923,124.96795003675416,6.955065561162441,132.81842862521515,11.102002880755332
0_15_4,200.4572485813791,54.57159233983394,204.0641755638626,47.69707474309761,194.53153473268074,65.22399476575448,61.11985015956684,58.06444584372591,23.069245564848682,44.999202465788635,205.02747233353057,47.920334245526185,207.0053007790089,47.80259993472742,124.90121820989314,6.868382002823662,132.80066622516853,10.62346737462797
0_15_5,197.67121034360656,54.618547426155516,201.16296777511835,47.776366058656464,192.0283102835449,64.7256319843515,74.58285468884466,58.93483210510163,23.38979046767427,43.511926815484955,202.42893717728055,48.15252282501937,204.3614352499283,47.95552793220772,124.95460738041452,6.71539428782517,132.65105399275674,10.202615153879407
0_15_6,206.28632924555365,54.4358920661889,210.35582217261904,47.35029093091166,197.73447753065835,69.19583404790467,51.140523477839935,56.28667870594772,26.95838599935456,52.86188321167739,211.14333040868834,47.42484177032269,212.59872649078457,47.28964382594482,124.34602231470525,7.7090078065087555,134.25562910122633,13.265374044174628
0_15_7,209.5971777175667,53.46447831672244,213.97135366241753,45.60845034611767,201.27973809299698,68.8397595997519,47.84252798022447,54.60614213720254,26.37625008964429,52.745699288555365,214.624502025961,45.68509912763529,215.93422294087063,45.6938193255251,124.23825861481642,7.929020878983371,134.24113569232287,13.435625463511622
0_15_8,208.87431069142642,54.48708011593968,213.15252449530266,46.68066248140185,199.70961199709552,70.69420934715275,49.186528760129804,56.884116546341076,27.9603245571572,54.734030167409976,213.86536267839216,46.76165338394628,215.1215596762048,46.73460370492623,124.16258146424985,8.045479403287896,134.64813332571356,13.975980841926608
0_15_9,202.6517166881813,58.380925572847694,207.1119549066803,50.67408024162186,195.3495500977123,70.81336885206053,53.0757708848788,55.612102087405404,26.780376640490534,49.65308244438048,207.9195545014881,50.80994138053985,209.40163432748852,50.62816923107866,124.22923950265347,7.5808383737412806,133.86351970381526,12.004655580070782
0_15_10,210.76636187607573,54.361826381024656,215.0743885699046,46.697286950253115,200.94825994827525,71.75707100429909,44.79274144569349,54.334392920571226,28.961697011259325,57.39390777861296,215.68282555444995,46.74797465107326,216.83396448517283,46.80419971690644,124.09303609527396,8.143667259991581,134.95535714285714,14.62053913418093
0_20_1,208.13394930167098,54.73492462373058,211.82226416828027,47.902167850232,201.16681278686173,67.40354177019618,51.16683710287579,57.29063386033237,23.471261833046473,48.05928075483345,212.56023799438827,47.97544820774405,214.0676493922117,47.688517997127285,124.77435019094234,7.154511042417757,133.29056673121056,12.084903950107266
0_20_2,195.2147247472031,42.718085111286825,198.7621947611876,35.590669199069005,187.622271619962,57.74521709144674,73.5682928141136,54.071626708299604,24.96427781438253,50.78008496237004,200.008258648433,36.10202729501618,202.62824232196644,36.62719101141388,124.79063670978557,7.437707082271557,133.5185870154726,12.873129544376301
0_20_3,201.37964755226264,49.21645710415106,205.4859108308233,41.70164130753236,192.76818748207114,64.81548813844596,59.26622516853127,56.47439059515656,26.90157101620769,53.1194927891294,206.42906660122634,41.905927526208174,208.40200198113885,42.089441064632865,124.33994667285212,7.926679696564555,134.2743524880773,13.5810525044481
0_20_4,205.36286877420397,58.65537667509686,210.11280787211345,50.47074223768866,196.4483272935492,74.05097630258184,45.28234702201664,53.91940918232059,29.952548531178284,57.25851022047234,210.71005091795755,50.54678987572971,212.0402340948616,50.56951586914295,123.9159657043352,8.157715694654803,134.76396568416524,13.774496643918363
0_20_5,204.96656839411216,59.52331689344476,209.1521779640885,52.2815443631805,197.63762544598035,72.37631331612279,50.377384370069564,55.24777561150924,26.771953662865748,51.62319869989971,209.88857315422405,52.387972129551414,211.24206311854562,52.17639227542552,124.40548768735657,7.3633681199297625,133.7470580984653,12.262759958211682
0_20_6,204.06344782029905,54.87482204881987,207.9135311334624,47.64268677821854,196.97783225536074,67.70001447259285,52.93861892884036,56.392655603877515,24.859548909925415,49.7349723532225,208.73161076224542,47.768429712082394,210.46680057282703,47.636728976844836,124.64448261797189,7.346530621992442,133.45973128003084,12.029953095505874
0_20_7,212.77546463756815,53.13552672770321,216.79334985029405,45.55388733696971,204.30958118187036,69.14205308766974,42.750093622256884,53.68023643858145,25.87137943515132,54.07138655483223,217.38375331683878,45.58844600861167,218.58328061128444,45.58529660025874,124.44283148217872,7.833697073588371,134.14473014827166,13.662870992185981
0_20_8,210.3755040250287,55.03035046103504,214.46151845103628,47.423727067576465,202.03901807004806,70.543832500078,44.599841049465724,54.47591170677502,26.734030765920828,54.76450231299589,215.07045044015348,47.478581953789345,216.35415019452813,47.46209011958552,124.39491862539444,7.7954835161265015,134.1532446751291,13.454420825045919
0_20_9,208.00901860791382,55.3916766183529,212.74526145878156,47.19530229136038,198.17702416810098,71.96717946286039,44.848355811639415,54.7250953578288,29.55694687231067,56.02282941287258,213.33933356192628,47.26778947467933,214.5836766149419,47.31540987556981,123.82165806081468,8.339721443945036,135.17312705061318,14.310561966168844
0_20_10,195.2120111584732,53.569556189311434,199.8698763805221,45.76625197195348,186.6720539524168,67.2813875457595,65.18365392373065,57.161849994344934,28.929287854543173,50.97007872526763,200.90078774921113,46.08707833226068,202.8791728857394,46.175839924158105,123.95684182040662,7.984967706445727,134.56072392247563,12.987799095722963
1_5_1,196.38804946347892,57.66947355497594,200.36384606506383,50.6150803442323,189.85562652395296,68.51609207990455,63.28003072558089,57.69056780082985,26.164495593983077,48.08356552461821,201.37272174636044,50.9222779714236,203.30309115927997,50.910814680475795,124.57090213532703,7.1125931557294075,133.31762989457832,10.926267486773302
1_5_2,208.88492821733362,57.72216803184154,212.50391711937036,51.082520710583594,203.1577820769686,68.05101024982386,51.73982380414515,57.47220243076069,22.170367183017785,43.674399839738385,213.24459859527397,51.191110464671254,214.56083721044894,50.86103382412064,124.92069376837708,6.620846528254798,132.69191548560312,10.271008667283676
1_5_3,202.48618878415448,60.68920768931126,206.969570917599,53.27757323409546,195.42761811755952,72.28353685217785,51.10946912650603,55.48384104126461,26.92000076197648,48.78513287261464,207.67952782110586,53.44313887906807,209.09640038950445,53.270979615614145,124.22919126281914,7.3174079452162095,133.7733248283312,11.423206660463466
1_5_4,204.0949070836919,50.37592988625264,207.27304519416955,43.88897718929267,198.48023399401177,60.94834987369387,61.9588176366179,58.511534543832994,20.70991830043388,43.26249672647634,208.27088913690477,44.101169318164416,210.2740144170432,44.00691811055564,125.22603051715792,6.663852233509451,132.4067740829389,10.4460778681891
1_5_5,200.47108422529405,60.35441923744083,204.5037932981928,53.55784440077531,194.52193786305938,70.3295906462448,60.38167166433592,57.22954622905537,24.83599050218732,44.04620219806521,205.4409173524455,53.78299941651933,206.96141709695928,53.45177517878837,124.59599155550775,6.748587983025005,133.04003833414015,10.262853925407766
1_5_6,210.3283259152682,52.795754820730444,213.4892766378012,46.60806765843101,204.585344334929,63.82296397211254,54.96334355278256,58.74625299769966,20.48758208055436,43.05192391046189,214.3164080989135,46.70580792306051,215.81930198472463,46.374035972372155,125.21490336345381,6.466396356787257,132.45948576672762,10.547513673561664
1_5_7,211.75485888867973,54.18493128540383,215.3917937934775,46.959608786123475,204.26994876828743,68.68117249504745,50.04994072271228,58.12766546896586,24.610984843391424,53.14110567541978,216.13521894497634,47.04099034489831,217.3693212022196,47.01527599054649,124.77076380297979,7.52585440996364,133.50357210090363,12.894433906226146
1_5_8,209.13568515131956,51.33926159415781,213.53827772025602,43.18668314008307,199.14071380387622,69.07642418700837,45.80925112279475,55.79852670688441,28.468545723070857,56.97010112918428,214.182986129787,43.26459069758201,215.58557948311102,43.43676984279817,124.03841683699082,8.403719058944828,135.0488287413045,14.690902606573284
1_5_9,211.36414245150243,50.61409144226075,215.3087137612952,43.179167422443015,203.83838725437465,65.2600345957613,51.07060227517212,55.897819322296755,23.90118425711776,50.38721719457752,216.04335803033564,43.272291385862694,217.40254864323364,43.331552654689325,124.60814552854275,7.6546349509378055,133.62534188091652,12.95050478360028
1_5_10,210.29320193721315,54.16706523825122,214.15724191408492,46.91614369516026,202.34827703671832,68.710607679907,46.077325709086345,55.54276678969582,25.395666650978917,52.351957471001754,214.83108404600546,46.98530264054377,216.1634981891853,46.95506428208209,124.56112031832689,7.581897056920781,133.84828997911288,12.893460594102454
1_10_1,204.12977215782774,58.21607875092861,207.76277716894364,51.74734756891387,198.89489184416237,67.91818170704475,55.93018138401822,56.59220299701105,22.36339134439544,43.60043906514219,208.59022300138054,51.90228131076196,210.1953240977302,51.64774563202707,124.97162069035069,6.485915768735903,132.46789507359796,9.94424614163795
1_10_2,202.02332471627582,52.74696795320257,204.9772461497777,46.801182247247375,197.27460539703458,61.933029829973854,66.20738926688898,58.93652772323707,19.85439352275172,40.45515068373313,206.06040770223754,47.02264010405866,208.10712123045755,46.69934980590608,125.43389338604418,6.132697863681863,131.90946649320497,9.444619424564952
1_10_3,201.66376465684166,61.68261331172001,206.42881195541094,54.026067933688694,193.94440557990893,73.73964587048592,49.24780674035428,55.321953661097076,28.543835890436746,50.066787110593985,207.11123915304074,54.165847999620546,208.45746131848824,54.00046985064364,123.97076212214931,7.561504880304204,134.23976979345954,11.840053202173118
1_10_4,210.80905272877223,55.28711395548092,214.33300400261763,48.691846677263015,205.2975457634108,66.05515640730754,50.63893923909926,56.36311572867591,20.863642124300775,43.22662316088223,215.06072465083548,48.774968860211814,216.4048319393646,48.41028515048718,125.04629231210556,6.654316607151706,132.50131261653758,10.559116986166215
1_10_5,196.72220365838353,53.92040275476012,200.669920642391,46.82975812331777,190.1881361383032,65.19581420688733,65.00193351531125,57.23891436763905,24.808383982358006,46.26925359511898,201.73228253415448,47.12826129553938,203.82188911897592,46.982859647523085,124.61437647913081,7.152037469619399,133.25340256113742,11.124698731579725
1_10_6,216.32012811289803,48.4061619096837,219.08089881848824,42.328847041744815,210.73501326735513,60.14559537084687,48.14173586085413,58.429597651758314,18.173208066641568,43.008216462190404,219.79494148468876,42.32976022230916,221.22913971735156,42.03404040338557,125.5293769385578,6.451830299409926,132.14903212179073,10.867710479571786
1_10_7,213.90291893018502,56.6650112131574,217.33670855296185,49.92953615074791,208.06058603834984,67.89224719949736,41.238186843355564,54.94914764969276,21.47332085036575,46.338554173424555,217.88273131588855,49.95399012491701,219.0726150696536,49.71407828618096,125.06187798067269,6.7633471436722745,132.64337175711776,10.748323863913193
