,MSE,R2 Score
Simple Linear Regression_L,109.98735088994265,0.5776726472876013
Multiple Linear Regression_L,109.98735088994265,0.5776726472876013
Polynomial Regression_L,102.82021223655144,0.6051928909294197
Ridge Regression_L,109.9825632911753,0.5776910306189289
Lasso Regression_L,110.32881697761012,0.5763614922531468
Elastic Net Regression_L,110.41035931295085,0.5760483875339242
Robust Regression_L,119.13526331082642,0.5425466659425047
Quantile Regression_L,157.95521948615283,0.393486531379012
Logistic Regression_L,15334.8275,-57.882381019038554
Simple Linear Regression_La,94.6773341834216,0.636459760290419
Multiple Linear Regression_La,94.6773341834216,0.636459760290419
Polynomial Regression_La,110.09725565502308,0.5772506370463205
Ridge Regression_La,93.136494216614,0.6423762484944715
Lasso Regression_La,92.50366355541783,0.6448061797156137
Elastic Net Regression_La,92.79043235638257,0.6437050502896207
Robust Regression_La,92.60314905727132,0.6444241771644923
Quantile Regression_La,160.00615829161973,0.3856113752880659
Logistic Regression_La,15337.695147058825,-57.89339215605629
Simple Linear Regression_L/a,125.16993352804465,0.5193748532139633
Multiple Linear Regression_L/a,125.16993352804465,0.5193748532139633
Polynomial Regression_L/a,152.932170276064,0.4127739408699783
Ridge Regression_L/a,125.29731057194525,0.5188857532464524
Lasso Regression_L/a,125.62004970059557,0.5176465056355523
Elastic Net Regression_L/a,127.14858026550216,0.5117772828404425
Robust Regression_L/a,127.71389872067341,0.5096065837129506
Quantile Regression_L/a,172.34852860909325,0.3382193748425736
Logistic Regression_L/a,15359.621617647057,-57.97758500371493
Simple Linear Regression_Lb,98.0582268319946,0.623477872550388
Multiple Linear Regression_Lb,98.0582268319946,0.623477872550388
Polynomial Regression_Lb,86.19550159332098,0.6690281408809411
Ridge Regression_Lb,92.5639146146742,0.6445748288361902
Lasso Regression_Lb,91.85808682942046,0.6472850530356561
Elastic Net Regression_Lb,91.94031482616623,0.6469693155267198
Robust Regression_Lb,101.66510716410633,0.6096282415711364
Quantile Regression_Lb,157.95521948615283,0.393486531379012
Logistic Regression_Lb,15337.289264705883,-57.89183365666301
Simple Linear Regression_L/b,102.71726484873639,0.6055881863648749
Multiple Linear Regression_L/b,102.71726484873639,0.6055881863648749
Polynomial Regression_L/b,123.7670485994311,0.524761624267794
Ridge Regression_L/b,102.80546378309343,0.6052495217624667
Lasso Regression_L/b,103.20001361538057,0.6037345367679678
Elastic Net Regression_L/b,104.28749980862865,0.5995588278215336
Robust Regression_L/b,104.44977238469393,0.5989357366486582
Quantile Regression_L/b,151.17572730583865,0.41951829741464897
Logistic Regression_L/b,15340.748088235294,-57.905114781927466
Simple Linear Regression_LH,119.8743347683635,0.5397087933180493
Multiple Linear Regression_LH,119.8743347683635,0.5397087933180493
Polynomial Regression_LH,110.28205662985434,0.5765410417533376
Ridge Regression_LH,118.0490998889194,0.5467172957365256
Lasso Regression_LH,113.75749144261323,0.5631961327968007
Elastic Net Regression_LH,111.62553172962657,0.5713823914382702
Robust Regression_LH,133.72643374194112,0.4865197652917719
Quantile Regression_LH,157.95521948615283,0.393486531379012
Logistic Regression_LH,15344.942205882353,-57.92121927565801
Simple Linear Regression_L/H,111.41811715681833,0.5721788179976819
Multiple Linear Regression_L/H,111.41811715681833,0.5721788179976819
Polynomial Regression_L/H,99.54917443980273,0.6177529600841485
Ridge Regression_L/H,111.49010450088882,0.571902402353482
Lasso Regression_L/H,111.75444004553734,0.5708874117214146
Elastic Net Regression_L/H,112.79474468054865,0.566892869631221
Robust Regression_L/H,117.10120632340373,0.5503569995473568
Quantile Regression_L/H,163.766104197457,0.37117400600963835
Logistic Regression_L/H,15338.512794117647,-57.89653174179057
Simple Linear Regression_LS,98.41409272729209,0.6221114254065523
Multiple Linear Regression_LS,98.41409272729209,0.6221114254065523
Polynomial Regression_LS,102.61136938837589,0.6059948017536123
Ridge Regression_LS,96.37046672124858,0.629958501948383
