Label,Weight
0_5_1,158.9
1_5_1,154.5
2_5_1,149.7
3_5_1,148.4
4_5_1,147.5
5_5_1,147.2
6_5_1,146.5
7_5_1,145.8
8_5_1,144.8
0_5_2,153.9
1_5_2,150.3
2_5_2,145.0
3_5_2,144.0
4_5_2,143.3
5_5_2,142.8
6_5_2,142.2
7_5_2,141.6
8_5_2,140.5
0_5_3,168.6
1_5_3,164.2
2_5_3,159.8
3_5_3,158.5
4_5_3,157.5
5_5_3,157.2
6_5_3,156.0
7_5_3,155.1
8_5_3,153.8
0_5_4,110.7
1_5_4,108.1
2_5_4,106.1
3_5_4,105.5
4_5_4,104.8
5_5_4,104.5
6_5_4,103.5
7_5_4,102.5
8_5_4,101.8
0_5_5,166.5
1_5_5,162.6
2_5_5,160.4
3_5_5,158.8
4_5_5,157.9
5_5_5,157.2
6_5_5,156.0
7_5_5,154.9
8_5_5,153.9
0_5_6,145.9
1_5_6,137.2
2_5_6,135.5
3_5_6,134.3
4_5_6,133.6
5_5_6,133.0
6_5_6,130.5
7_5_6,129.6
8_5_6,128.6
0_5_7,141.6
1_5_7,136.0
2_5_7,134.1
3_5_7,132.9
4_5_7,131.9
5_5_7,130.9
6_5_7,127.7
7_5_7,126.6
8_5_7,124.6
0_5_8,147.7
1_5_8,142.1
2_5_8,139.6
3_5_8,137.9
4_5_8,136.7
5_5_8,135.8
6_5_8,129.8
7_5_8,128.7
8_5_8,127.7
0_5_9,138.0
1_5_9,133.2
2_5_9,131.2
3_5_9,129.4
4_5_9,125.8
5_5_9,124.8
6_5_9,121.9
7_5_9,120.8
8_5_9,119.6
0_5_10,138.9
1_5_10,135.4
2_5_10,133.2
3_5_10,131.5
4_5_10,128.7
5_5_10,127.7
6_5_10,124.5
7_5_10,123.6
8_5_10,122.4
0_10_1,140.9
1_10_1,134.7
2_10_1,133.2
3_10_1,131.6
4_10_1,129.8
5_10_1,127.9
6_10_1,125.9
7_10_1,124.5
8_10_1,122.8
0_10_2,121.7
1_10_2,117.0
2_10_2,115.5
3_10_2,114.1
4_10_2,112.8
5_10_2,110.5
6_10_2,110.1
7_10_2,109.1
8_10_2,108.0
0_10_3,149.4
1_10_3,143.5
2_10_3,141.7
3_10_3,140.2
4_10_3,138.4
5_10_3,136.5
6_10_3,134.2
7_10_3,132.9
8_10_3,131.3
0_10_4,121.6
1_10_4,117.3
2_10_4,116.4
3_10_4,115.0
4_10_4,113.5
5_10_4,112.6
6_10_4,110.4
7_10_4,109.2
8_10_4,107.6
0_10_5,137.0
1_10_5,133.4
2_10_5,131.7
3_10_5,129.5
4_10_5,128.3
5_10_5,126.3
6_10_5,124.5
7_10_5,123.4
8_10_5,122.0
0_10_6,124.6
1_10_6,119.3
2_10_6,118.0
3_10_6,116.4
4_10_6,115.3
5_10_6,113.5
6_10_6,111.8
7_10_6,112.3
8_10_6,109.7
0_10_7,125.6
1_10_7,120.4
2_10_7,119.4
3_10_7,117.7
4_10_7,116.8
5_10_7,115.3
6_10_7,113.3
7_10_7,111.9
8_10_7,110.7
0_10_8,120.5
