Trt,Code,Day,Leave,Total area (cm2),Yellowing area (cm2),Green area (cm2),Yellowing area (%),Green area (%),R,G,B,Var_R,Var_G,Var_B,X,Y,Z,L*,a*,b*,,L*0,a*0,b*0,TCD,Grayscale,,Day,Yellowing area (%),Green area (%),TCD,Grayscale
5C,7_1,Day 0,1,262.235,0,262.235,0,100,157.767,170.09,135.559,34.08,40.24,24.45,32.85,37.79,28.69,27.84,-15.77,22.15,,,,,,154.472,,0,0,100,,147.49
,,,2,215.414,0,215.414,0,100,155.89,168.462,130.445,33.19,39.4,22.49,31.83,36.86,26.71,26.75,-16.48,23.96,,,,,,151.63,,1,0,100,2.28,150.44
,,,3,215.536,0,215.536,0,100,142.077,155.773,111.09,27.08,33.14,15.92,25.89,30.61,19.61,19.51,-16.56,24.7,,,,,,136.355,,2,0,100,2.76,152.46
,,Day 1,1,262.235,0,262.235,0,100,163.523,174.814,143.058,36.89,42.77,27.49,35.46,40.41,31.94,30.88,-15.12,21.34,,27.84,-15.77,22.15,3.212,160.477,,3,0,100,1.65,149.52
,,,2,215.414,0,215.414,0,100,156.695,169.968,129.322,33.57,40.18,22.07,32.19,37.47,26.42,27.46,-17.63,25.74,,26.75,-16.48,23.96,2.232,152.027,,4,0,100,3.03,152.41
,,,3,215.536,0,215.536,0,100,144.642,158.136,113.542,28.16,34.26,16.68,26.87,31.69,20.48,20.76,-16.8,25.23,,19.51,-16.56,24.7,1.388,138.825,,5,0,100,3.28,153.52
,,Day 2,1,262.235,0,262.235,0,100,158.606,170.659,137.567,34.48,40.54,25.24,33.26,38.15,29.49,28.25,-15.36,21.37,,27.84,-15.77,22.15,0.969,155.618,,6,0,100,3.73,154.08
,,,2,215.414,0,215.414,0,100,163.208,175.279,138.979,36.73,43.02,25.81,35.18,40.44,30.37,30.91,-16.72,24.32,,26.75,-16.48,23.96,4.18,159.189,,,,,,
,,,3,215.536,0,215.536,0,100,148.14,161.36,118.086,29.68,35.82,18.14,28.31,33.23,22.09,22.55,-16.9,25.33,,19.51,-16.56,24.7,3.13,142.574,,,,,,
,,Day 3,1,262.235,0,262.235,0,100,155.926,168.77,133.673,33.21,39.56,23.71,32.11,37.06,27.9,26.99,-16,22.17,,27.84,-15.77,22.15,0.88,152.77,,,,,,
,,,2,215.414,0,215.414,0,100,157.129,170.195,131.808,33.78,40.3,23,32.48,37.66,27.32,27.69,-17.05,24.45,,26.75,-16.48,23.96,1.203,153.063,,,,,,
,,,3,215.536,0,215.536,0,100,147.685,160.635,119.74,29.48,35.46,18.69,28.2,32.98,22.57,22.26,-16.19,23.93,,19.51,-16.56,24.7,2.878,142.731,,,,,,
,,Day 4,1,262.235,0,262.235,0,100,159.266,170.577,139.83,34.8,40.5,26.16,33.54,38.25,30.36,28.37,-14.4,19.96,,27.84,-15.77,22.15,2.639,156.567,,,,,,
,,,2,215.414,0,215.414,0,100,162.883,174.245,140.099,36.57,42.46,26.27,34.99,40.04,30.73,30.44,-15.68,22.83,,26.75,-16.48,23.96,3.939,159.108,,,,,,
,,,3,215.536,0,215.536,0,100,146.711,159.145,118.668,29.05,34.74,18.34,27.71,32.35,22.13,21.52,-15.65,23.47,,19.51,-16.56,24.7,2.526,141.557,,,,,,
,,Day 5,1,262.235,0,262.235,0,100,160.228,171.376,140.421,35.26,40.92,26.4,33.93,38.67,30.65,28.86,-14.45,20.26,,27.84,-15.77,22.15,2.521,157.338,,,,,,
,,,2,215.414,0,215.414,0,100,159.039,170.891,134.827,34.69,40.67,24.16,33.2,38.2,28.48,28.32,-15.98,23.36,,26.75,-16.48,23.96,1.748,154.939,,,,,,
,,,3,215.536,0,215.536,0,100,153.514,165.411,125.735,32.09,37.83,20.77,30.5,35.38,24.87,25.04,-16.08,24.44,,19.51,-16.56,24.7,5.563,148.27,,,,,,
,,Day 6,1,262.235,0,262.235,0,100,158.018,170.035,136.175,34.2,40.22,24.69,32.93,37.82,28.92,27.87,-15.45,21.77,,27.84,-15.77,22.15,0.502,154.734,,,,,,
,,,2,215.414,0,215.414,0,100,158.793,171.712,132.826,34.57,41.1,23.39,33.17,38.43,27.8,28.58,-17.3,25.09,,26.75,-16.48,23.96,2.304,154.459,,,,,,
,,,3,215.536,0,215.536,0,100,158.513,170.255,130.264,34.44,40.33,22.42,32.66,37.79,26.78,27.83,-16.72,25.69,,19.51,-16.56,24.7,8.386,153.054,,,,,,
10C,7_2,Day 0,1,154.668,0,154.668,0,100,154.283,165.278,137.009,32.45,37.77,25.02,31.39,35.71,28.91,25.43,-13.06,17.59,,,,,,152.189,,0,0,100,,144.97
,,,2,246.67,0,246.67,0,100,141.339,154.516,121.898,26.78,32.55,19.43,26.18,30.38,22.86,19.24,-13.84,18.17,,,,,,139.269,,1,0,100,4.19,145.84
,,,3,173.288,0,173.288,0,100,146.001,155.582,128.705,28.74,33.05,21.84,27.61,31.33,25.26,20.34,-11.07,15.61,,,,,,143.466,,2,0,100,3.13,148.3
,,Day 1,1,154.668,0,154.668,0,100,143.357,155.982,123.042,27.62,33.24,19.82,26.84,31.07,23.34,20.05,-13.83,18.68,,25.43,-13.06,17.59,5.549,140.784,,3,3.21,96.79,4.62,149.76
,,,2,246.67,0,246.67,0,100,149.088,161.11,131.029,30.09,35.69,22.71,29.26,33.57,26.42,22.94,-13.53,17.92,,19.24,-13.84,18.17,3.72,147.094,,4,39.41,60.59,10.19,155.55
,,,3,173.288,0,173.288,0,100,151.843,160.033,136.978,31.33,35.17,25.01,30,33.62,28.57,23,-9.91,14.03,,20.34,-11.07,15.61,3.3,149.653,,5,57.23,42.77,17.01,159.95
,,Day 2,1,154.668,0,154.668,0,100,150.392,161.872,131.366,30.67,36.07,22.83,29.66,33.97,26.6,23.4,-13.44,18.4,,25.43,-13.06,17.59,2.219,147.877,,6,77.47,22.53,24.5,165.43
,,,2,246.67,0,246.67,0,100,150.513,162.655,132.514,30.73,36.45,23.27,29.9,34.28,27.06,23.77,-13.78,18.18,,19.24,-13.84,18.17,4.534,148.585,,,,,,
