Label,R_Mean,R_Std,G_Mean,G_Std,B_Mean,B_Std,H_Mean,H_Std,S_Mean,S_Std,V_Mean,V_Std,L_Mean,L_Std,A_Mean,A_Std,B_Lab_Mean,B_Lab_Std
0_5_1_1,186.37092633928572,52.25891485045022,190.31326668280263,44.58227998518099,179.63684178679003,63.365554431095255,72.29298152431153,57.632621497402226,27.658968687248997,50.31842048134159,191.52770378388556,45.12550059070131,194.2528640230565,45.90747356089989,124.55663614278544,7.328075193877756,133.4330184577596,11.071651416657694
0_5_1_2,183.67508538618762,54.54853062362293,187.76319059721027,47.237962560581735,176.92086851871773,65.17281192765064,80.01218512442628,56.13140936954202,28.706103879804935,48.72882301428529,189.117849411037,47.904863120107414,191.6767797753514,48.44399483629785,124.42095793889845,7.215213469678714,133.54144849487236,10.923513558021368
0_5_2_1,181.777705464716,51.87166096224642,185.94014248960127,44.638574394406035,175.2461810411288,62.52314233707475,87.27037076878945,53.8074509745226,28.152586349863743,46.79316628954023,187.43075538762193,45.412645257437816,190.10372808197076,45.848958108830566,124.41337470417385,7.146438887183409,133.4458799483649,10.816612022085705
0_5_2_2,190.9099013240462,47.95006398054296,194.34014069671545,40.7477922365692,184.63453871288726,58.78618997520005,77.11933548927854,58.3727987154721,24.05283589716007,45.90356415652449,195.6449020412005,41.2809685227084,198.3591129025029,41.82772748517547,124.9446920494478,7.048216948780419,132.9159255324871,10.815408309271987
0_5_3_1,198.60303311460126,65.97612055015635,203.76956273755738,58.19973146680347,190.8647071545109,77.46865684422933,48.85618220650459,54.53156047415331,30.548313454711703,50.717371675507906,204.4162520618187,58.359730918400544,205.6390581298408,58.135498029502585,123.69510340469019,7.5772699121483225,134.47240905586634,11.62660295300785
0_5_3_2,186.4876925111159,51.72393266583388,190.85002913439473,43.979251579890054,178.5594525423121,64.257228136394,73.83612407218159,56.172810130623894,29.48729348196357,51.48317120091259,192.06342961130235,44.570428347741405,194.64687668083047,45.14359562221792,124.17086269183879,7.667027234389338,134.18289015436747,12.124024050826499
0_5_4_1,193.85144585036576,46.362979763957746,197.02971024723897,39.75326289243334,188.24490540286146,56.84082964107711,80.99085437733075,55.880908129416696,21.833802733254448,42.39194217143017,198.40792601208406,40.337178374847596,200.9882467369478,40.60815188228183,125.18959207365175,6.670360582290486,132.43704763249426,10.430286389192368
0_5_4_2,189.95009323006312,48.32768399093669,193.89544057928143,40.58611439707672,183.3091228754303,60.588192704750945,71.98948528488955,54.939437274185174,25.929077582652038,49.62751084437371,195.10351114278544,41.117743566636385,197.8276195182516,41.80289795541402,124.6212969063755,7.432391408926407,133.31124565225187,11.602938630405726
0_5_5_1,194.70778034011045,64.44489461084272,199.7751919508391,56.81770019196902,187.57557540429576,75.27383397120246,56.731235544858,55.31444986598045,29.884843503478198,48.78512707873889,200.58939339949083,57.051156909360586,202.0879637971529,56.863962125861484,123.81928954657917,7.3931053047053314,134.13782294355997,11.170370616694438
0_5_5_2,196.25827304754733,60.982847452662696,200.43390784118617,54.01209926853258,190.25151678141137,71.09103425684748,65.89944174017499,57.34640217491796,26.43297061011905,45.79397759449918,201.48323999121487,54.30433813869087,203.13609661861733,54.09943099656628,124.48250412363741,6.871534817085341,133.17213833010615,10.440576636879467
0_5_6_1,193.19945529887408,63.554482396760804,198.46866954424843,55.84535104623417,183.5955093812751,77.07975307919418,50.373585413080896,54.73344361413552,33.98385472694349,55.45800721985243,199.15467562213138,56.04212326101192,200.78438811047764,55.9957313266263,123.40737806135256,7.970016465670179,135.45261402753874,13.13905550939542
0_5_6_2,193.1188577972605,44.427428318313204,196.4817022554504,37.491919564322146,186.9662574404762,56.23074892823096,78.37370665698508,55.68808506886841,22.76540806081469,45.062417541263386,197.83543302674985,38.048956075730274,200.53160656016925,38.428118250456265,125.03287883677568,6.97096766256207,132.76321547350116,11.13366442772182
0_5_7_1,199.21419046722605,62.073170972225725,205.17507597353702,52.78734230886293,187.08347553159066,80.8190209368767,42.748010008785144,52.134349046307825,39.31968577434739,68.14419093816711,205.71758899437035,52.88915236309751,206.96719736087206,53.26861825447871,122.82678851566982,9.284776192554014,136.89448082508605,15.953929530674316
0_5_7_2,210.68792446572002,54.15622104782652,213.57762713801637,48.45402130570164,205.5930067367685,64.45963819948955,53.132049515024384,57.904595080573664,19.201613597246126,42.912138448092485,214.37175241143146,48.511464111130955,215.90246420951664,48.13592172132417,125.48922912632673,6.242301579500761,131.98673051581326,10.481083829282268
0_5_8_1,193.4368531043818,43.24154610655384,197.87129477732358,34.71100735879279,182.58253549913942,62.23045027113534,67.24116645152037,56.5258174204118,30.862268717728057,58.99944024616026,199.0239562042814,35.17222889313719,201.51063024419105,35.97169765541651,123.90697903220023,8.772877667152986,135.47442112198794,15.47300288708165
0_5_8_2,206.16424974451377,56.34963583340853,211.33578073454532,47.836004505052436,195.29644728467443,74.41951193836715,41.72653090038727,51.3823566779751,32.60339785481211,60.61671452390117,211.87619663923553,47.90738056312057,213.11897209373208,48.08188667514913,123.46801009842943,8.707812077527667,135.85617985334196,15.185992139821327
0_5_9_1,200.4984152009825,55.36947062145989,205.8412680857358,46.92144698457577,189.76404120948078,72.13356447031293,49.70949658007028,54.655164109483906,32.578911852768215,57.7714444092164,206.52913854077022,47.05781542868823,208.09009946034138,47.22599219248804,123.34217976817986,8.725926307284238,135.88658607644865,14.803283670476784
0_5_9_2,194.58868139970596,44.150348907451686,198.24778892355135,36.899217633862705,186.81373305722892,58.91007063843001,70.44187733075158,54.83395817024315,25.641701964106428,51.73799197069314,199.46336125753012,37.370479942796734,202.04261151749856,38.031185696236285,124.70126207956828,7.641706223832292,133.65935348537005,13.007251571388323
