Label,R_Mean,R_Std,G_Mean,G_Std,B_Mean,B_Std,H_Mean,H_Std,S_Mean,S_Std,V_Mean,V_Std,L_Mean,L_Std,A_Mean,A_Std,B_Lab_Mean,B_Lab_Std
0_5_1,185.02300586273665,53.432996143605585,189.03822864000645,45.94701426411262,178.2788551527539,64.28987929026408,76.1525833243689,57.017748248172474,28.182536283526964,49.532766317612335,190.32277659746129,46.551532805949456,192.96482189920397,47.210353046072385,124.48879704084194,7.272179719577455,133.487233476316,10.997965540969888
0_5_2,186.3438033943811,50.15763325420664,190.14014159315835,42.943363172085796,179.94035987700804,60.86472742643664,82.194853129034,56.36553543112852,26.102711123511906,46.39580579405829,191.53782871441123,43.58992322816113,194.23142049223682,44.078120624108614,124.67903337681082,7.1024678804630925,133.180902740426,10.819255482103591
0_5_3,192.54536281285857,59.588608106909696,197.30979593597604,51.98480781246063,184.71207984841152,71.43561369008127,61.34615313934309,56.749777239755154,30.017803468337636,51.10445963057124,198.23984083656055,52.29090450172116,200.14296740533564,52.335907288135466,123.93298304826449,7.6259917185921395,134.3276496051169,11.878799729119804
0_5_4,191.90076954021444,47.39568128350391,195.4625754132602,40.20240301041249,185.77701413914588,58.79621579699254,76.49016983111015,55.59464895177239,23.881440157953243,46.197144022765976,196.75571857743475,40.762828496500035,199.40793312759968,41.24014463464592,124.90544449001364,7.067376884383273,132.87414664237306,11.040859796918252
0_5_5,195.4830266938289,62.74254592640976,200.10454989601263,55.43363092839213,188.91354609285355,73.22453674677402,61.315338642516494,56.52577380630638,28.158907056798625,47.344665598407964,201.03631669535284,55.69647711589371,202.6120302078851,55.501386982711345,124.1508968351083,7.1447856362694955,133.65498063683305,10.822409473199599
0_5_6,193.15915654806727,54.831431987855666,197.4751858998494,47.57268799215626,185.28088341087565,67.48654099529249,64.37364603503299,56.96014423847583,28.37463139387909,50.838660546186475,198.49505432444062,47.90257215728633,200.65799733532344,48.02225602952689,124.22012844906412,7.5311579123329935,134.10791475051994,12.25172835887512
0_5_7,204.95105746647303,58.5311802318316,209.3763515557767,50.840914241201034,196.33824113417958,73.68195326781904,47.94002976190476,55.33916614912545,29.26064968579676,57.82495481566398,210.0446707029009,50.93167904220857,211.43483078519435,50.963379732564235,124.15800882099828,8.02239655458058,134.44060567044966,13.719037726007818
0_5_8,199.8005514244478,50.62660407760224,204.60353775593447,42.33074266957564,188.93949139190693,68.89018244473668,54.483848675953816,55.50140956084789,31.732833286270083,59.81987877941734,205.45007642175847,42.51348515371225,207.31480116896157,42.85561607714022,123.68749456531484,8.743160772934898,135.66530048766495,15.331357498258939
0_5_9,197.54354830034424,50.16220719999967,202.04452850464358,42.37926917733945,188.28888713335485,65.87108510156116,60.07568695541093,55.71743774728969,29.110306908437323,54.9473477194594,202.99624989915017,42.63773779402253,205.06635548891998,42.98227238778771,124.02172092387407,8.229854685718163,134.77296978090936,13.978663801976271
0_5_10,205.31156293701594,56.40731109656113,209.73638852284137,48.690063284111055,195.99566368151176,72.13494442276811,47.58719952354059,54.836451392126975,29.50420980798193,56.47308775076192,210.4699872032774,48.79363161358932,211.8409600455393,48.83051472828064,124.04132562616537,8.103175076216298,134.80058705805365,13.879159364830635
