Treatment,Rep,Day 0,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8
5,1.0,158.9,154.5,149.7,148.4,147.5,147.2,146.5,145.8,144.8
5,2.0,153.9,150.3,145.0,144.0,143.3,142.8,142.2,141.6,140.5
5,3.0,168.6,164.2,159.8,158.5,157.5,157.2,156.0,155.1,153.8
5,4.0,110.7,108.1,106.1,105.5,104.8,104.5,103.5,102.5,101.8
5,5.0,166.5,162.6,160.4,158.8,157.9,157.2,156.0,154.9,153.9
5,6.0,145.9,137.2,135.5,134.3,133.6,133.0,130.5,129.6,128.6
5,7.0,141.6,136.0,134.1,132.9,131.9,130.9,127.7,126.6,124.6
5,8.0,147.7,142.1,139.6,137.9,136.7,135.8,129.8,128.7,127.7
5,9.0,138.0,133.2,131.2,129.4,125.8,124.8,121.9,120.8,119.6
5,10.0,138.9,135.4,133.2,131.5,128.7,127.7,124.5,123.6,122.4
10,1.0,140.9,134.7,133.2,131.6,129.8,127.9,125.9,124.5,122.8
10,2.0,121.7,117.0,115.5,114.1,112.8,110.5,110.1,109.1,108.0
10,3.0,149.4,143.5,141.7,140.2,138.4,136.5,134.2,132.9,131.3
10,4.0,121.6,117.3,116.4,115.0,113.5,112.6,110.4,109.2,107.6
10,5.0,137.0,133.4,131.7,129.5,128.3,126.3,124.5,123.4,122.0
10,6.0,124.6,119.3,118.0,116.4,115.3,113.5,111.8,112.3,109.7
10,7.0,125.6,120.4,119.4,117.7,116.8,115.3,113.3,111.9,110.7
10,8.0,120.5,115.6,114.2,112.5,111.2,109.6,107.8,107.0,105.7
10,9.0,121.9,117.6,116.1,114.3,112.9,111.0,109.2,108.0,106.5
10,10.0,125.3,121.8,120.5,118.3,117.2,114.7,112.9,111.5,109.9
15,1.0,145.4,137.0,135.7,132.6,131.1,127.9,127.0,125.1,120.2
15,2.0,108.2,102.2,101.5,100.0,99.1,97.1,96.4,95.4,93.8
15,3.0,111.5,106.9,106.1,103.9,102.8,101.0,100.1,99.1,97.8
15,4.0,108.4,104.2,103.4,100.5,99.1,95.8,94.2,78.3,70.1
15,5.0,128.9,124.8,123.7,120.6,119.4,115.6,114.6,113.7,112.0
15,6.0,129.0,122.9,121.9,119.0,117.2,113.6,112.6,111.4,109.8
15,7.0,118.2,112.7,111.7,109.4,108.1,105.2,104.1,103.2,101.4
15,8.0,125.9,120.6,119.1,116.2,114.5,111.5,110.4,109.4,107.5
15,9.0,119.7,115.0,113.8,110.6,108.9,106.4,105.1,85.4,80.1
15,10.0,126.1,122.4,120.8,118.1,116.5,113.2,112.1,110.9,108.3
20,1.0,121.2,113.9,113.0,111.1,109.2,105.8,104.5,,
20,2.0,117.7,109.6,108.2,105.8,103.9,103.3,68.8,,
20,3.0,114.8,108.9,107.9,105.6,104.1,100.7,99.2,,
20,4.0,132.7,127.9,126.1,121.2,119.0,114.6,76.6,,
20,5.0,129.2,124.8,124.1,120.1,118.3,113.3,99.9,,
20,6.0,119.1,110.8,109.8,105.7,104.0,99.2,79.9,,
20,7.0,117.7,111.1,109.8,106.6,104.8,100.6,87.3,,
20,8.0,124.1,116.7,115.6,112.0,110.3,106.1,104.5,,
20,9.0,126.5,120.6,119.5,115.9,113.7,110.1,99.2,,
20,10.0,125.8,120.2,118.4,115.4,113.4,108.2,105.8,,
