Feature Group,R2_Train,R2_Test,MSE_Test
"('RGB',)",0.6504798437864545,0.6933878764276697,15.904954925296515
"('Lab',)",0.6820540296096376,0.7820113384457275,11.307771512265488
"('HSV',)",0.6319654318526635,0.590644602674546,21.234578290744885
"('GRAY',)",0.6140860925648663,0.5779982393447232,21.890585745330434
"('GLCM',)",0.6056499442124545,0.5355910577812478,24.090382359428858
"('LBP',)",0.6333295817019755,0.5259333064486553,24.591360917728988
"('Temp',)",0.025459164164429393,0.05728459496341731,48.90167371660509
"('Yellow',)",0.08804829315500218,0.14782434659981247,44.20508621071444
"('Cyan',)",0.475850196010131,0.43798593844311073,29.153473164398424
"('Magenta',)",0.36717006002321606,0.42540074447749265,29.806307567738802
"('Brightness',)",0.3771350909327822,0.4242015852160804,29.86851180734551
"('Chroma',)",0.33027033940521155,0.19755022847263248,41.62564512210644
"('Day',)",0.6145991518406831,0.4108723954821144,30.559939659054194
"('RGB', 'Lab')",0.7057685481629152,0.8126635365371663,9.717743618633985
"('RGB', 'HSV')",0.6779756314278773,0.7400737427903467,13.48320919816897
"('RGB', 'GRAY')",0.6509080246181552,0.6979476971593497,15.668422389140316
"('RGB', 'GLCM')",0.672740813885015,0.6956363226675321,15.788320802417395
"('RGB', 'LBP')",0.7238876395306053,0.6890142826995843,16.13182726907828
"('RGB', 'Temp')",0.6708594782865066,0.688931728060735,16.136109643155578
"('RGB', 'Yellow')",0.6504798437864553,0.6933878764276701,15.904954925296495
"('RGB', 'Cyan')",0.6504798437864546,0.69338787642767,15.904954925296499
"('RGB', 'Magenta')",0.6504798437864543,0.6933878764276693,15.904954925296536
"('RGB', 'Brightness')",0.6504798437864545,0.69338787642767,15.904954925296506
"('RGB', 'Chroma')",0.6608498577257889,0.7181625945238447,14.61981078286786
"('RGB', 'Day')",0.750221571088167,0.7025585752438525,15.42924134422395
"('Lab', 'HSV')",0.699246969840372,0.8039051802339564,10.172067670139988
"('Lab', 'GRAY')",0.6925553062718406,0.7918526773493488,10.797269677429396
"('Lab', 'GLCM')",0.6960372681319802,0.7865450811456899,11.072591727312256
"('Lab', 'LBP')",0.7548891816812622,0.7782237966357711,11.50424346211264
"('Lab', 'Temp')",0.705893438271818,0.7899686251661262,10.895001511063146
"('Lab', 'Yellow')",0.6820867358199967,0.7813734923161988,11.34085863817959
"('Lab', 'Cyan')",0.6922545007935682,0.796665546357886,10.547610714990876
"('Lab', 'Magenta')",0.6869670438847869,0.7873984905324456,11.02832264339271
"('Lab', 'Brightness')",0.6899539417624414,0.7890760146807777,10.94130408178314
"('Lab', 'Chroma')",0.6825777120044119,0.7820296158869522,11.306823402727476
"('Lab', 'Day')",0.7858173574315453,0.797698107426591,10.494048458338963
"('HSV', 'GRAY')",0.6325179344267837,0.5928546498888809,21.11993604856204
"('HSV', 'GLCM')",0.6557820636470038,0.6178013771758275,19.825869237342324
"('HSV', 'LBP')",0.7145910095432192,0.6272396210649519,19.336277234646886
"('HSV', 'Temp')",0.6571425934519621,0.5962014980527367,20.946324292550116
"('HSV', 'Yellow')",0.632042640855623,0.589870432556387,21.27473697948285
"('HSV', 'Cyan')",0.6340979790235923,0.5984469350739166,20.829846267502184
"('HSV', 'Magenta')",0.6384239141185789,0.6187761243555912,19.77530597266423
"('HSV', 'Brightness')",0.6323879104409866,0.5903715062167706,21.248744680516324
"('HSV', 'Chroma')",0.6322084396993558,0.5915540625969514,21.187401685646257
"('HSV', 'Day')",0.7363051479942277,0.6233844788509859,19.536255834414394
"('GRAY', 'GLCM')",0.645186842936506,0.6224763747522646,19.58336210858699
"('GRAY', 'LBP')",0.6827599210582556,0.6255307193167662,19.424923453067677
"('GRAY', 'Temp')",0.6486093804379971,0.5988614205683818,20.80834557460768
"('GRAY', 'Yellow')",0.6182429205520774,0.5929422142682335,21.115393803166008
"('GRAY', 'Cyan')",0.6211719696884381,0.6027303555345962,20.607651500513033
"('GRAY', 'Magenta')",0.6247229504175693,0.6143569013524661,20.004545253390052
"('GRAY', 'Brightness')",0.6238670283036513,0.6115463001195248,20.15034016000394
"('GRAY', 'Chroma')",0.6207431874340728,0.6010396484525371,20.695353903205817
"('GRAY', 'Day')",0.7341541160942671,0.6081345759287756,20.32731724375128
"('GLCM', 'LBP')",0.6868492256031615,0.5666015385811012,22.481769191798882
"('GLCM', 'Temp')",0.643531848082051,0.5534332357436402,23.16485132381726
"('GLCM', 'Yellow')",0.6079270768854454,0.5396242880543735,23.8811657604568
"('GLCM', 'Cyan')",0.605656115811619,0.5353307455412755,24.103885590791744
"('GLCM', 'Magenta')",0.6208760362840398,0.5643810102157693,22.596955124923326
"('GLCM', 'Brightness')",0.6177984148373405,0.5534054699017674,23.16629162715003
"('GLCM', 'Chroma')",0.6070638336002798,0.5410657336490381,23.80639335112315
"('GLCM', 'Day')",0.7313548330179134,0.5759122629884419,21.998792033898997
"('LBP', 'Temp')",0.6345002376741208,0.5213875930766325,24.827161659862018
"('LBP', 'Yellow')",0.6369286800865337,0.5432408751786356,23.693561778837893
"('LBP', 'Cyan')",0.653648473643577,0.5501946816756887,23.332845517503323
