Model,Feature_Groups,MAE,MSE,R² Score
RANSACRegressor,"('HSV', 'RGB', 'GLCM', 'LBP', 'Temp', 'Cyan', 'Magenta', 'Brightness', 'Chroma')",12.76777496,979.2171606,-5.245341631
RANSACRegressor,"('HSV', 'RGB', 'GLCM', 'LBP', 'Temp', 'Yellow', 'Cyan', 'Brightness', 'Chroma')",10.50751645,611.0755166,-2.897373858
PassiveAggressiveRegressor,"('Yellow', 'Cyan', 'Brightness')",11.94695697,236.3668551,-0.507522355
PassiveAggressiveRegressor,"('Lab', 'RGB', 'GLCM', 'Cyan', 'Brightness', 'Chroma')",11.73920494,233.8681287,-0.491585747
RANSACRegressor,"('Lab', 'RGB', 'Temp', 'Chroma')",11.20526339,229.7187515,-0.465121466
PassiveAggressiveRegressor,"('RGB', 'GLCM', 'LBP', 'Yellow', 'Cyan', 'Brightness', 'Chroma')",11.59243766,215.9942739,-0.377588226
PassiveAggressiveRegressor,"('HSV', 'RGB', 'Cyan', 'Chroma')",11.62298626,214.8621666,-0.370367767
PassiveAggressiveRegressor,"('HSV', 'LBP', 'Yellow', 'Magenta', 'Brightness', 'Chroma')",11.62084642,211.1470618,-0.346673229
PassiveAggressiveRegressor,"('Lab', 'HSV', 'GLCM', 'Yellow', 'Cyan', 'Brightness', 'Chroma')",11.52415201,210.9865679,-0.345649616
PassiveAggressiveRegressor,"('Lab', 'HSV', 'GLCM', 'Yellow', 'Cyan', 'Magenta', 'Brightness')",11.23832932,209.1299505,-0.33380831
RANSACRegressor,"('Lab', 'Chroma')",11.16457808,207.5762118,-0.323898732
PassiveAggressiveRegressor,"('Lab', 'HSV', 'RGB', 'GLCM', 'Cyan', 'Brightness')",11.48238008,206.8958361,-0.319559369
PassiveAggressiveRegressor,"('GLCM', 'LBP', 'Yellow', 'Brightness')",10.30214004,205.9352555,-0.31343289
PassiveAggressiveRegressor,"('RGB', 'Magenta', 'Brightness', 'Chroma')",11.09541488,201.5144333,-0.285237361
RANSACRegressor,"('RGB', 'GLCM', 'Chroma')",10.61431911,197.6962133,-0.260885165
PassiveAggressiveRegressor,"('RGB', 'LBP', 'Yellow', 'Cyan', 'Chroma')",11.32718267,196.5880863,-0.25381765
PassiveAggressiveRegressor,"('RGB', 'GLCM', 'Temp', 'Chroma')",10.96372208,193.451135,-0.233810513
RANSACRegressor,"('Lab', 'RGB', 'Temp')",10.56090761,191.737593,-0.222881726
PassiveAggressiveRegressor,"('RGB', 'GLCM', 'LBP', 'Yellow', 'Magenta', 'Brightness', 'Chroma')",11.21344674,190.4957654,-0.214961484
PassiveAggressiveRegressor,"('GLCM', 'Yellow', 'Magenta', 'Brightness', 'Chroma')",10.39104017,190.3798859,-0.214222417
RANSACRegressor,"('Lab', 'HSV', 'RGB', 'GLCM', 'Magenta')",10.41579476,190.2867468,-0.213628386
PassiveAggressiveRegressor,"('Lab', 'Temp', 'Yellow', 'Brightness')",10.78896,190.0884216,-0.212363489
RANSACRegressor,"('Lab', 'HSV', 'RGB', 'GLCM', 'Temp')",10.47920796,188.5302946,-0.202425922
RANSACRegressor,"('Lab', 'HSV', 'RGB', 'Temp', 'Chroma')",10.40641898,187.7055238,-0.197165623
PassiveAggressiveRegressor,"('HSV', 'RGB', 'GLCM', 'Cyan', 'Magenta')",10.3214191,185.7551943,-0.184726632
PassiveAggressiveRegressor,"('Lab', 'RGB', 'GLCM', 'Yellow', 'Cyan', 'Magenta', 'Chroma')",10.66859605,184.7034695,-0.178018844
PassiveAggressiveRegressor,"('HSV', 'Chroma')",10.83078385,184.7021399,-0.178010364
RANSACRegressor,"('Lab', 'RGB', 'Chroma')",10.55587742,184.3102867,-0.175511166
PassiveAggressiveRegressor,"('RGB', 'GLCM', 'Temp')",10.44174059,183.8483061,-0.172564704
PassiveAggressiveRegressor,"('RGB', 'Magenta', 'Chroma')",10.51381574,183.5225206,-0.170486879
PassiveAggressiveRegressor,"('GLCM', 'Cyan', 'Magenta', 'Chroma')",10.34970902,183.4169053,-0.169813276
PassiveAggressiveRegressor,"('HSV', 'RGB', 'GLCM', 'LBP', 'Brightness', 'Chroma')",10.96864255,183.3732037,-0.169534552
RANSACRegressor,"('GLCM', 'Brightness', 'Chroma')",10.17717168,183.2501174,-0.168749521
PassiveAggressiveRegressor,"('Lab', 'RGB', 'LBP', 'Yellow', 'Magenta', 'Brightness')",10.65414127,182.354573,-0.163037835
RANSACRegressor,"('RGB', 'Temp')",10.32030183,182.229375,-0.162239336
PassiveAggressiveRegressor,"('RGB', 'Yellow', 'Cyan', 'Magenta', 'Brightness')",10.30993877,180.8424058,-0.153393395
PassiveAggressiveRegressor,"('Lab', 'RGB', 'GLCM', 'Yellow', 'Cyan', 'Brightness', 'Chroma')",10.94144333,179.3458093,-0.143848264
RANSACRegressor,"('Lab', 'HSV', 'RGB', 'GLCM', 'Chroma')",10.35171628,179.0995981,-0.142277955
PassiveAggressiveRegressor,"('Lab', 'HSV', 'GLCM', 'Yellow', 'Magenta', 'Brightness', 'Chroma')",9.601630818,178.424221,-0.137970473
PassiveAggressiveRegressor,"('Lab', 'HSV', 'Cyan', 'Magenta', 'Brightness')",10.22770282,178.1373817,-0.136141043
RANSACRegressor,"('Lab', 'RGB', 'Yellow')",10.06497662,178.1288043,-0.136086337
PassiveAggressiveRegressor,"('Lab', 'HSV', 'Chroma')",10.09733672,177.9915476,-0.135210929
PassiveAggressiveRegressor,"('Lab', 'HSV', 'RGB', 'Yellow', 'Cyan', 'Chroma')",10.84622543,177.7476254,-0.133655219
PassiveAggressiveRegressor,"('Lab', 'HSV', 'RGB', 'GLCM', 'Chroma')",10.43829433,177.7319611,-0.133555314
RANSACRegressor,"('Lab', 'GLCM', 'Chroma')",10.56982215,177.2221091,-0.130303533
RANSACRegressor,"('Chroma',)",10.14640832,176.3380261,-0.124664947
PassiveAggressiveRegressor,"('GLCM', 'LBP', 'Yellow', 'Cyan', 'Magenta', 'Brightness')",10.61000123,176.3090033,-0.124479843
PassiveAggressiveRegressor,"('Lab', 'RGB', 'GLCM', 'Chroma')",10.65636112,176.2848581,-0.124325847
RANSACRegressor,"('Lab', 'RGB', 'Magenta')",9.943538399,175.7367724,-0.120830215
RANSACRegressor,"('RGB', 'Chroma')",10.12320018,175.268116,-0.117841175
PassiveAggressiveRegressor,"('RGB', 'GLCM', 'Yellow', 'Magenta')",10.11699484,174.9310328,-0.115691295
RANSACRegressor,"('Lab', 'RGB', 'GLCM', 'Chroma')",10.20852788,174.7074628,-0.114265389
RANSACRegressor,"('Lab', 'HSV', 'RGB', 'Chroma')",10.00393387,174.5257745,-0.113106601
PassiveAggressiveRegressor,"('HSV', 'GLCM', 'Yellow', 'Brightness')",9.94915621,173.5337451,-0.106779544
PassiveAggressiveRegressor,"('RGB', 'Yellow', 'Cyan', 'Magenta', 'Brightness', 'Chroma')",10.02131499,173.5261092,-0.106730843
RANSACRegressor,"('Lab', 'RGB', 'GLCM', 'Magenta', 'Brightness', 'Chroma')",10.1137624,173.1163065,-0.104117166
PassiveAggressiveRegressor,"('Lab', 'HSV', 'LBP', 'Yellow', 'Cyan', 'Magenta', 'Brightness')",10.61406343,171.4562696,-0.093529629
PassiveAggressiveRegressor,"('Lab', 'RGB', 'GLCM', 'Temp', 'Magenta', 'Brightness')",10.52972439,170.9427177,-0.09025425
PassiveAggressiveRegressor,"('Lab', 'Chroma')",9.958350936,170.7925418,-0.089296444
PassiveAggressiveRegressor,"('Lab', 'HSV', 'RGB', 'Chroma')",9.991838296,170.6651079,-0.088483685
PassiveAggressiveRegressor,"('HSV', 'LBP', 'Magenta', 'Chroma')",10.07607946,170.5524723,-0.087765307
PassiveAggressiveRegressor,"('HSV', 'Cyan', 'Magenta', 'Brightness')",9.851944133,169.9288194,-0.083787716
PassiveAggressiveRegressor,"('Lab', 'RGB', 'Yellow', 'Cyan', 'Magenta')",9.845522586,169.6787202,-0.08219261
PassiveAggressiveRegressor,"('RGB', 'Cyan', 'Brightness', 'Chroma')",10.68254818,169.5770373,-0.081544088
PassiveAggressiveRegressor,"('HSV', 'GLCM', 'Cyan', 'Magenta', 'Brightness', 'Chroma')",9.90778368,169.3460095,-0.080070617
RANSACRegressor,"('HSV', 'Chroma')",9.892727746,169.2319119,-0.079342915
PassiveAggressiveRegressor,"('Lab', 'RGB', 'GLCM', 'Cyan', 'Chroma')",10.59476846,169.0027816,-0.077881547
PassiveAggressiveRegressor,"('GLCM', 'Yellow', 'Cyan', 'Magenta')",9.887829128,168.7835336,-0.076483206
RANSACRegressor,"('HSV', 'GLCM', 'Chroma')",10.01242695,168.6717508,-0.075770268
PassiveAggressiveRegressor,"('Lab', 'HSV', 'LBP', 'Cyan', 'Magenta', 'Brightness', 'Chroma')",9.953444691,168.3473947,-0.07370156
PassiveAggressiveRegressor,"('Lab', 'RGB', 'Magenta', 'Brightness', 'Chroma')",10.07335552,168.2541805,-0.07310705
RANSACRegressor,"('Temp',)",9.992588209,168.2259539,-0.072927023
RANSACRegressor,"('Lab', 'HSV', 'GLCM', 'Brightness', 'Chroma')",9.913331307,167.9991093,-0.071480233
PassiveAggressiveRegressor,"('Lab', 'RGB', 'Cyan', 'Magenta', 'Chroma')",9.79468254,167.8255516,-0.0703733
RANSACRegressor,"('Lab', 'HSV', 'Yellow', 'Magenta')",9.802708972,167.7860236,-0.070121195
PassiveAggressiveRegressor,"('HSV', 'Temp', 'Cyan', 'Magenta', 'Chroma')",10.89579868,167.6239958,-0.069087799
PassiveAggressiveRegressor,"('Lab', 'HSV', 'RGB', 'LBP', 'Temp', 'Cyan', 'Brightness')",10.47573917,166.7024943,-0.063210562
RANSACRegressor,"('RGB', 'Cyan', 'Magenta', 'Chroma')",9.940471361,166.413705,-0.061368695
RANSACRegressor,"('HSV', 'RGB', 'GLCM', 'Magenta', 'Chroma')",9.660621094,166.0795792,-0.059237676
RANSACRegressor,"('Lab', 'HSV', 'GLCM', 'Chroma')",9.818845259,165.9886992,-0.058658054
RANSACRegressor,"('Lab', 'HSV', 'GLCM', 'Magenta', 'Brightness', 'Chroma')",9.867829565,165.8302236,-0.057647314
RANSACRegressor,"('Magenta',)",9.672822771,165.631111,-0.056377395
PassiveAggressiveRegressor,"('Lab', 'RGB', 'Cyan', 'Brightness')",9.730180516,165.3062742,-0.05430562
RANSACRegressor,"('HSV', 'RGB', 'Cyan', 'Chroma')",9.849287747,165.2752761,-0.054107918
RANSACRegressor,"('HSV', 'Cyan', 'Magenta')",9.851126873,165.2390537,-0.053876895
PassiveAggressiveRegressor,"('Lab', 'GLCM', 'Yellow', 'Cyan', 'Magenta', 'Brightness')",10.14305556,165.1348084,-0.05321203
RANSACRegressor,"('Lab', 'HSV', 'Cyan', 'Magenta')",9.992256614,164.4986654,-0.049154778
PassiveAggressiveRegressor,"('GLCM', 'Cyan')",9.625532906,163.3790454,-0.042013963
RANSACRegressor,"('HSV', 'GLCM', 'Yellow', 'Magenta', 'Chroma')",9.783708303,162.90998,-0.039022314
PassiveAggressiveRegressor,"('Lab', 'HSV', 'GLCM', 'LBP', 'Yellow', 'Cyan', 'Magenta')",10.0091002,162.3992591,-0.035764991
PassiveAggressiveRegressor,"('RGB', 'Yellow', 'Magenta')",10.01518577,162.3377833,-0.035372905
RANSACRegressor,"('HSV', 'GLCM', 'Yellow', 'Magenta')",9.689573902,161.1490743,-0.027791447
