Model,Feature_Groups,R² Score
LinearRegression,"('Lab',)",0.7266683801175589
Ridge,"('Lab',)",0.7148924481332877
Lasso,"('Lab',)",0.5295592928166558
ElasticNet,"('Lab',)",0.48603220819997384
BayesianRidge,"('Lab',)",0.7130893981777247
ARDRegression,"('Lab',)",0.7300609450408404
HuberRegressor,"('Lab',)",0.7191650359488824
RANSACRegressor,"('Lab',)",0.6136008727195086
PassiveAggressiveRegressor,"('Lab',)",0.47084008718862713
LinearSVR,"('Lab',)",0.6728289413676813
LinearRegression,"('HSV',)",0.7397360214438307
Ridge,"('HSV',)",0.7371890456239409
Lasso,"('HSV',)",0.5912245806131168
ElasticNet,"('HSV',)",0.4985751622253868
BayesianRidge,"('HSV',)",0.7378339642814356
ARDRegression,"('HSV',)",0.7393792891264701
HuberRegressor,"('HSV',)",0.7369956073808039
RANSACRegressor,"('HSV',)",0.6896850931702779
PassiveAggressiveRegressor,"('HSV',)",0.7349100261275392
LinearSVR,"('HSV',)",0.7059056508083124
LinearRegression,"('RGB',)",0.7054457857606853
Ridge,"('RGB',)",0.7096456598893522
Lasso,"('RGB',)",0.6067806415116164
ElasticNet,"('RGB',)",0.5797109961546223
BayesianRidge,"('RGB',)",0.7171869767760892
ARDRegression,"('RGB',)",0.7086713097217396
HuberRegressor,"('RGB',)",0.7004844817164028
RANSACRegressor,"('RGB',)",0.5091148787218465
PassiveAggressiveRegressor,"('RGB',)",0.5072098239658349
LinearSVR,"('RGB',)",0.6728891621209312
LinearRegression,"('GLCM',)",0.5761644789522776
Ridge,"('GLCM',)",0.5802333071356318
Lasso,"('GLCM',)",0.5096501247914016
ElasticNet,"('GLCM',)",0.46459801448316473
BayesianRidge,"('GLCM',)",0.5803417636621991
ARDRegression,"('GLCM',)",0.5821077405563326
HuberRegressor,"('GLCM',)",0.5456365101932512
RANSACRegressor,"('GLCM',)",0.22379880724593226
PassiveAggressiveRegressor,"('GLCM',)",0.14227323066737885
LinearSVR,"('GLCM',)",0.5210395234619092
LinearRegression,"('LBP',)",0.7110839045357631
Ridge,"('LBP',)",0.6791657560481092
Lasso,"('LBP',)",0.45895573413637136
ElasticNet,"('LBP',)",0.307959210207265
BayesianRidge,"('LBP',)",0.6886173314263098
ARDRegression,"('LBP',)",0.7000266392677059
HuberRegressor,"('LBP',)",0.7003483676916308
RANSACRegressor,"('LBP',)",0.5416923705210952
PassiveAggressiveRegressor,"('LBP',)",0.575419284424915
LinearSVR,"('LBP',)",0.6463826838652367
LinearRegression,"('Temp',)",0.3957474852932724
Ridge,"('Temp',)",0.3949292435677362
Lasso,"('Temp',)",0.35029664047265585
ElasticNet,"('Temp',)",0.27666142313006514
BayesianRidge,"('Temp',)",0.3941171736641933
ARDRegression,"('Temp',)",0.3941171736641932
HuberRegressor,"('Temp',)",0.3652626300915668
RANSACRegressor,"('Temp',)",0.24403149296018556
PassiveAggressiveRegressor,"('Temp',)",0.44040381784425264
LinearSVR,"('Temp',)",0.37071408862228816
LinearRegression,"('Yellow',)",0.3864748926445877
Ridge,"('Yellow',)",0.3856522341487415
Lasso,"('Yellow',)",0.3421374596079705
ElasticNet,"('Yellow',)",0.26895634144644676
BayesianRidge,"('Yellow',)",0.384932027828767
ARDRegression,"('Yellow',)",0.384932027828767
HuberRegressor,"('Yellow',)",0.38343491081244074
RANSACRegressor,"('Yellow',)",0.06715487353052219
PassiveAggressiveRegressor,"('Yellow',)",0.4056531268829452
LinearSVR,"('Yellow',)",0.4039617962237272
LinearRegression,"('Cyan',)",0.4169538977375784
Ridge,"('Cyan',)",0.4161230728485389
Lasso,"('Cyan',)",0.37429068382030306
ElasticNet,"('Cyan',)",0.2955647814050173
