SubsetSize,Feature Groups,Model,R2,MSE
1,Lab,LinearRegression,0.7266683801175591,42.856104362665015
1,Lab,Ridge,0.7278384732134988,42.67264358394065
1,Lab,Lasso,0.6475322662494816,55.263982954409116
1,Lab,ElasticNet,0.6587896635769149,53.4989175187893
1,Lab,BayesianRidge,0.7251861358073581,43.08850783239992
1,Lab,ARDRegression,0.7300600744289003,42.3243151557097
1,Lab,HuberRegressor,0.7126757356196557,45.050033602061966
1,Lab,RANSACRegressor,0.577400309825298,66.26008521643564
1,Lab,PassiveAggressiveRegressor,0.38315507936140014,96.71610736378584
1,Lab,LinearSVR,0.5460006107871951,71.18329453818181
1,HSV,LinearRegression,0.7397360214438311,40.80720785850844
1,HSV,Ridge,0.7396291661125454,40.823961877788236
1,HSV,Lasso,0.7039997056540777,46.41036229662843
1,HSV,ElasticNet,0.7091229736660328,45.60707686374406
1,HSV,BayesianRidge,0.7363704342751096,41.334903684576446
1,HSV,ARDRegression,0.7393775892197103,40.863407023502496
1,HSV,HuberRegressor,0.7056634442792191,46.149502041302235
1,HSV,RANSACRegressor,0.5245578328181475,74.5453421888056
1,HSV,PassiveAggressiveRegressor,0.10919854655691763,139.6701928287328
1,HSV,LinearSVR,0.7157776034994917,44.563686747517195
1,RGB,LinearRegression,0.7054457857606866,46.183629070548484
1,RGB,Ridge,0.7100619065890768,45.459860060372314
1,RGB,Lasso,0.669257104873191,51.85771056001806
1,RGB,ElasticNet,0.6807428731720626,50.05683847242885
1,RGB,BayesianRidge,0.7162068118037912,44.49639048706153
1,RGB,ARDRegression,0.7086695873430583,45.678164034640574
1,RGB,HuberRegressor,0.702324633035156,46.67299962707131
1,RGB,RANSACRegressor,0.6178782517676416,59.9134835864703
1,RGB,PassiveAggressiveRegressor,0.30804401952781035,108.4928912587599
1,RGB,LinearSVR,0.7115822376887042,45.22148490165682
1,GLCM,LinearRegression,0.5761644789522813,66.45385312697374
1,GLCM,Ridge,0.5245517813852201,74.54629100270864
1,GLCM,Lasso,0.5022634887794195,78.04090825332393
1,GLCM,ElasticNet,0.5028923036660234,77.94231535574156
1,GLCM,BayesianRidge,0.5070970175821485,77.28305149712868
1,GLCM,ARDRegression,0.5821170736679393,65.52053622616069
1,GLCM,HuberRegressor,0.4999145400155319,78.40920370853331
1,GLCM,RANSACRegressor,0.2723164191061276,114.09467920030055
1,GLCM,PassiveAggressiveRegressor,0.2686594756878168,114.6680572414174
1,GLCM,LinearSVR,0.3379101939554692,103.81012572751327
1,LBP,LinearRegression,0.711083904535763,45.299619358325295
1,LBP,Ridge,0.7110839045241273,45.29961936014967
1,LBP,Lasso,0.7130933581542265,44.98455389307891
1,LBP,ElasticNet,0.7131004500873612,44.983441937474645
1,LBP,BayesianRidge,0.7095460622131956,45.54074012985409
1,LBP,ARDRegression,-0.03749309488684971,162.67021125890417
1,LBP,HuberRegressor,0.5064606062403918,77.38283545513411
1,LBP,RANSACRegressor,0.6132694355224977,60.636107299289115
1,LBP,PassiveAggressiveRegressor,0.2986972191147763,109.95839113078448
1,LBP,LinearSVR,0.021079842473751498,153.486466189697
1,Temp,LinearRegression,0.3957474852932723,94.74172378158097
1,Temp,Ridge,0.3957197934010165,94.74606563791293
1,Temp,Lasso,0.3883816122641668,95.8966308625592
1,Temp,ElasticNet,0.3883471717648055,95.90203084385506
1,Temp,BayesianRidge,0.39411717647147637,94.99734252426545
1,Temp,ARDRegression,0.3941171764714766,94.9973425242654
1,Temp,HuberRegressor,0.36526365167846575,99.52133309034718
1,Temp,RANSACRegressor,0.17064025665585014,130.03664826717431
1,Temp,PassiveAggressiveRegressor,0.4332560390762591,88.86069729767952
1,Temp,LinearSVR,0.4008765010361831,93.93753715271426
1,Yellow,LinearRegression,0.386474892644588,96.19558849886253
1,Yellow,Ridge,0.38647148742920634,96.19612240805985
1,Yellow,Lasso,0.38398744161985443,96.5855999463447
1,Yellow,ElasticNet,0.38477743852436386,96.4617350608975
1,Yellow,BayesianRidge,0.38493205109977524,96.43749310648893
1,Yellow,ARDRegression,0.3849320510997758,96.43749310648884
1,Yellow,HuberRegressor,0.383435461519789,96.67214579414926
1,Yellow,RANSACRegressor,0.2564750757047526,116.57846891459022
1,Yellow,PassiveAggressiveRegressor,0.07433217678383608,145.1369470315035
1,Yellow,LinearSVR,0.07259624471724258,145.40912661264537
1,Cyan,LinearRegression,0.41695389773757763,91.41673626179913
1,Cyan,Ridge,0.41695156470716677,91.41710206139018
1,Cyan,Lasso,0.4150022561612967,91.72273728395524
1,Cyan,ElasticNet,0.41566716562366657,91.61848505977679
1,Cyan,BayesianRidge,0.4156551799296233,91.62036431602601
1,Cyan,ARDRegression,0.4156551799296233,91.62036431602601
1,Cyan,HuberRegressor,0.41301790761099233,92.03386648518094
1,Cyan,RANSACRegressor,0.4151375506530134,91.70152424296423
1,Cyan,PassiveAggressiveRegressor,0.09789768333440552,141.44207335196126
1,Cyan,LinearSVR,-0.10014616935346665,172.49368758827288
1,Magenta,LinearRegression,0.4124321217903689,92.12571278629167
1,Magenta,Ridge,0.4124291212713005,92.12618324250305
