Feature Set,Model,MSE,R2 Score
L,Linear Regression,109.98735088994265,0.5776726472876013
L,Ridge Regression,109.9825632911753,0.5776910306189289
L,Lasso Regression,110.32881697761012,0.5763614922531468
L,Polynomial Regression,102.82021223655144,0.6051928909294197
L,Elastic Net,110.41035931295085,0.5760483875339242
L,Huber Regressor,119.13526331082642,0.5425466659425047
L,Quantile Regressor,157.95521948615283,0.393486531379012
L,Random Forest,132.30104598529428,0.4919929422796938
a,Linear Regression,204.39191567117481,0.21517978237699031
a,Ridge Regression,201.22900352733993,0.22732467269173506
a,Lasso Regression,200.15348511192025,0.23145442799088878
a,Polynomial Regression,188.5678030195367,0.2759409112805886
a,Elastic Net,194.31799803589342,0.2538614210556811
a,Huber Regressor,199.59891300957938,0.23358386347573945
a,Quantile Regressor,232.6115603048899,0.10682252387217328
a,Random Forest,206.01676261764712,0.2089407257589878
b,Linear Regression,103.45081496993214,0.6027715144634264
b,Ridge Regression,100.39333281664267,0.6145115766916387
b,Lasso Regression,100.8282742730854,0.6128414967015483
b,Polynomial Regression,97.39402257243988,0.6260282715219818
b,Elastic Net,141.9494601700643,0.4549451437141655
b,Huber Regressor,103.87098632425347,0.6011581484325119
b,Quantile Regressor,234.4938662527446,0.09959488104306524
b,Random Forest,137.36738905882336,0.47253929382954296
H,Linear Regression,257.89243974499925,0.009749480455878201
H,Ridge Regression,257.91394625990523,0.00966690014611693
H,Lasso Regression,257.595338020003,0.010890286048418685
H,Polynomial Regression,260.9844772404207,-0.0021232667224360124
H,Elastic Net,258.0388812028429,0.009187177311761663
H,Huber Regressor,272.4611414626655,-0.046191145253302146
H,Quantile Regressor,292.80426470588236,-0.12430428567984775
H,Random Forest,264.64106580882293,-0.016163766448599848
S,Linear Regression,132.80804817101316,0.4900461648622769
S,Ridge Regression,132.09419295378947,0.49278721264341385
S,Lasso Regression,131.92877066457837,0.4934223980253407
S,Polynomial Regression,133.56393256776838,0.48714373423134294
S,Elastic Net,137.90780375876164,0.4704642196710592
S,Huber Regressor,128.18653944189572,0.5077917467979528
S,Quantile Regressor,286.6238126094285,-0.10057270244467231
S,Random Forest,131.2388493382353,0.4960715449042927
V,Linear Regression,113.17195215340556,0.5654444755009324
V,Ridge Regression,113.15564761672078,0.565507081352965
V,Lasso Regression,113.51697652438179,0.564119657437431
V,Polynomial Regression,104.39137218471049,0.5991599806336011
V,Elastic Net,113.4752019801134,0.5642800625435536
V,Huber Regressor,122.44617339032244,0.5298334959495159
V,Quantile Regressor,161.98600653400732,0.37800919139860645
V,Random Forest,126.52498560294137,0.514171749848457
R,Linear Regression,118.43553399516043,0.5452334733536239
R,Ridge Regression,118.43212648527687,0.5452465574457201
R,Lasso Regression,118.75456842709832,0.5440084509671929
R,Polynomial Regression,105.07059656069563,0.5965519077026096
R,Elastic Net,118.84346876135896,0.5436670931426817
R,Huber Regressor,129.8381583815557,0.5014498915861272
R,Quantile Regressor,172.34268144998845,0.33824182665367397
R,Random Forest,131.27406192647075,0.4959363362730156
G,Linear Regression,109.087819363726,0.5811266514533036
G,Ridge Regression,109.09137629625309,0.5811129936109627
G,Lasso Regression,109.44087006069859,0.5797710140548276
G,Polynomial Regression,102.91636930712843,0.6048236688258527
G,Elastic Net,109.59966631525732,0.5791612711956189
G,Huber Regressor,117.59523028185157,0.5484600556819068
G,Quantile Regressor,159.56779901797643,0.3872945789480935
G,Random Forest,112.48514454411765,0.568081666387942
