Feature Set,Model,MSE,R2 Score
"L,b,B",Polynomial Regression,69.66680769796542,0.7324947075373565
"L,a,R,G,B,Orange_HSV",Huber Regressor,71.45594228325125,0.7256248223465945
"L,R,G,B,Orange_LAB,Orange_HSV",Linear Regression,72.21730970165443,0.7227013381126899
"L,a,b,R,G,B,Orange_LAB,Orange_HSV",Linear Regression,72.58980801367402,0.7212710261292465
"L,V,R,G,Orange_LAB,Orange_HSV",Huber Regressor,73.4075471,0.7181310870399857
"L,b,V,R,G,B",Polynomial Regression,73.94921158623893,0.7160512139651769
"L,R,G,B,Orange_HSV",Huber Regressor,74.34097424,0.7145469311135881
"L,R,Orange_HSV",Linear Regression,74.38258167,0.7143871676961895
"L,b,R,G,B,Orange_LAB,Orange_HSV",Huber Regressor,74.49898252,0.7139402139291867
"L,R,G,Orange_LAB,Orange_HSV",Linear Regression,74.52326087949524,0.7138469903304978
"L,B,Orange_LAB",Ridge Regression,74.88069366,0.7124745266927521
"L,H,R,G,B,Orange_LAB,Orange_HSV",Linear Regression,74.96891440003381,0.7121357783590017
"L,a,b,G,B,Orange_LAB,Orange_HSV",Linear Regression,75.06748152269589,0.7117573021829547
"L,a,R,G,Orange_LAB,Orange_HSV",Linear Regression,75.11147774571127,0.7115883663167384
"L,G,B,Orange_LAB,Orange_HSV",Linear Regression,75.17893275118581,0.7113293538606809
"L,R,B,Orange_LAB",Ridge Regression,75.27971307163467,0.7109423794895711
"B,Orange_LAB",Ridge Regression,75.33216505036515,0.7107409753722564
"L,G,B,Orange_LAB",Ridge Regression,75.33370073292019,0.7107350786873846
"L,B,Orange_RGB,Orange_LAB",Ridge Regression,75.34843076972672,0.7106785185702482
"L,b,R,G,Orange_LAB,Orange_HSV",Linear Regression,75.50089161221607,0.7100931023066521
"B,Orange_LAB",Linear Regression,75.55947978193609,0.7098681365590647
"L,a,R,G,B,Orange_LAB,Orange_HSV",Linear Regression,75.56309418,0.7098542580580072
"L,R,G,Orange_LAB",Huber Regressor,75.57614831,0.7098041330477798
"L,R,B,Orange_RGB,Orange_LAB",Ridge Regression,75.60447982487449,0.7096953462440662
"L,R,G,B,Orange_LAB",Ridge Regression,75.63739699,0.7095689515435544
"L,G,Orange_LAB,Orange_HSV",Linear Regression,75.69363908465957,0.7093529942022163
"L,b,V,R,B",Polynomial Regression,75.72863563983954,0.7092186150905855
"R,B,Orange_LAB",Ridge Regression,75.76562125143047,0.7090765984377135
"B,Orange_RGB,Orange_LAB",Ridge Regression,75.8454914,0.7087699145476787
"L,V,B,Orange_LAB",Ridge Regression,75.86089990533297,0.7087107492619033
"L,G,B,Orange_RGB,Orange_LAB",Ridge Regression,75.92253920182634,0.7084740678553554
"L,V,G,B,Orange_LAB",Ridge Regression,76.01217944475216,0.7081298689435256
"V,B,Orange_LAB",Ridge Regression,76.02649074737364,0.7080749166740048
"L,a,H,G,B,Orange_LAB,Orange_HSV",Linear Regression,76.03148136,0.7080557538197172
"L,b,G,Orange_LAB,Orange_HSV",Huber Regressor,76.04002184043215,0.7080229602384285
"R,G,B,Orange_LAB",Ridge Regression,76.07192466306606,0.7079004603825996
"L,R,G,B,Orange_RGB,Orange_LAB",Ridge Regression,76.07559348449534,0.7078863729113651
"R,B,Orange_RGB,Orange_LAB",Ridge Regression,76.08912693021625,0.7078344074420804
"L,V,R,G,B,Orange_LAB",Ridge Regression,76.21267646215169,0.7073600042827266
"V,G,B,Orange_LAB",Ridge Regression,76.23729406728457,0.7072654780674685
"V,R,B,Orange_LAB",Ridge Regression,76.34084447856917,0.7068678671538838
"G,B,Orange_RGB,Orange_LAB",Ridge Regression,76.37590283245706,0.7067332507487416
"L,V,B,Orange_RGB,Orange_LAB",Ridge Regression,76.41694545221226,0.7065756560725416
"L,b,R,G,B,Orange_LAB,Orange_HSV",Linear Regression,76.48999417229983,0.7062951649767565
"V,R,G,B,Orange_LAB",Ridge Regression,76.50477304774957,0.7062384173299203
"R,G,B,Orange_RGB,Orange_LAB",Ridge Regression,76.52544086334444,0.7061590574419341
"L,a,H,R,G,B,Orange_LAB,Orange_HSV",Linear Regression,76.53785810602973,0.7061113779479846
"L,V,R,B,Orange_RGB,Orange_LAB",Ridge Regression,76.54484053267834,0.7060845669580104
"L,V,G,B,Orange_RGB,Orange_LAB",Ridge Regression,76.66592089623109,0.7056196448647793
"V,B,Orange_RGB,Orange_LAB",Ridge Regression,76.68595798047959,0.7055427068471047
"L,V,R,G,B,Orange_RGB,Orange_LAB",Ridge Regression,76.75598574210834,0.7052738155705558
"V,R,B,Orange_RGB,Orange_LAB",Ridge Regression,76.83137700172333,0.7049843296357348
"L,a,G,Orange_LAB,Orange_HSV",Huber Regressor,76.87093176220101,0.7048324480134887
"L,Orange_LAB",Linear Regression,76.87594379790106,0.7048132028934656
"L,a,H,V,G,B,Orange_LAB,Orange_HSV",Linear Regression,76.95939076444557,0.7044927848073178
"L,a,b,G,Orange_LAB,Orange_HSV",Linear Regression,76.96114005279895,0.7044860679229357
"V,G,B,Orange_RGB,Orange_LAB",Ridge Regression,76.98823376767693,0.7043820339882425
"V,R,G,B,Orange_RGB,Orange_LAB",Ridge Regression,77.08285921624956,0.7040186929779214
"L,H,R,G,B,Orange_LAB",Linear Regression,77.08343978390974,0.7040164637251844
"L,R,G,B,Orange_LAB",Huber Regressor,77.09913184,0.7039562096508617
"L,G,Orange_LAB",Huber Regressor,77.13477480213592,0.7038193484917191
"L,H,R,G,B,Orange_RGB,Orange_LAB,Orange_HSV",Linear Regression,77.33690245733185,0.7030432225387059
"L,a,G,B,Orange_HSV",Huber Regressor,77.38588430666948,0.7028551429586966
"B,Orange_LAB",Huber Regressor,77.39030557614036,0.7028381662516829
"L,R,G,Orange_HSV",Huber Regressor,77.49768452307282,0.7024258545992239
"L,a,b,H,R,B,Orange_LAB,Orange_HSV",Linear Regression,77.53781276755524,0.7022717709239272
"L,G,Orange_LAB",Linear Regression,77.61902676996115,0.7019599269313068
"L,S,R,G,Orange_LAB,Orange_HSV",Linear Regression,77.65917782254911,0.7018057556778774
"L,a,H,G,B,Orange_LAB",Linear Regression,77.68758628341773,0.7016966734063598
"L,b,R,G,Orange_LAB,Orange_HSV",Huber Regressor,77.80017030477883,0.7012643754074133
"L,a,H,G,B,Orange_RGB,Orange_LAB,Orange_HSV",Linear Regression,77.80637465560241,0.7012405520582969
"L,b,G,Orange_LAB,Orange_HSV",Linear Regression,77.80793769835623,0.7012345503162507
"L,b,G,B,Orange_LAB,Orange_HSV",Linear Regression,77.87704571622706,0.7009691906544129
"L,a,H,V,G,B,Orange_LAB",Linear Regression,77.88726558367533,0.7009299486003988
"L,R,G,B,Orange_HSV",Linear Regression,77.89056062,0.7009172963835405
"L,a,b,H,G,B,Orange_LAB,Orange_HSV",Linear Regression,77.93420477,0.7007497123986572
"L,a,S,G,Orange_LAB,Orange_HSV",Linear Regression,78.04288692508274,0.7003323967127466
"L,b,V,B",Polynomial Regression,78.05833025,0.7002730977311078
"L,a,b,R,G,B,Orange_RGB,Orange_LAB,Orange_HSV",Linear Regression,78.17915385185495,0.6998091615408808
"L,b,B,Orange_LAB",Ridge Regression,78.22204129865551,0.6996444831326336
"L,b,R,B,Orange_LAB",Ridge Regression,78.28466528542234,0.6994040207309709
"L,a,b,R,G,B,Orange_HSV",Linear Regression,78.34787308550752,0.6991613166139541
"L,a,b,R,G,B,Orange_HSV",Huber Regressor,78.38357741429427,0.6990242198065952
"L,b,G,B,Orange_LAB",Huber Regressor,78.41533869334975,0.6989022634471254
"R,G,Orange_HSV",Linear Regression,78.42412474668676,0.6988685269254564
"L,a,b,H,V,G,B,Orange_LAB,Orange_HSV",Linear Regression,78.43150208399577,0.6988401995649867
"L,a,H,R,G,B,Orange_RGB,Orange_LAB,Orange_HSV",Linear Regression,78.50723921832217,0.6985493855469811
"L,b,B,Orange_RGB,Orange_LAB",Ridge Regression,78.53326223239766,0.6984494628690079
"a,b,H,R,B,Orange_LAB,Orange_HSV",Linear Regression,78.54794529364833,0.6983930831277236
"L,b,R,B,Orange_RGB,Orange_LAB",Ridge Regression,78.57727649507574,0.6982804577344355
"L,a,G,Orange_LAB,Orange_HSV",Linear Regression,78.59224553252915,0.6982229799071289
"L,b,G,B,Orange_LAB",Ridge Regression,78.62656590734765,0.6980911971800797
"L,b,V,G,Orange_RGB,Orange_LAB,Orange_HSV",Elastic Net,78.63369573368546,0.6980638202075626
"L,b,B,Orange_LAB",Lasso Regression,78.64202818392256,0.6980318254225099
"L,b,B,Orange_RGB,Orange_LAB",Lasso Regression,78.64205451865683,0.6980317243028946
"L,b,R,B,Orange_LAB",Lasso Regression,78.64212753143704,0.6980314439498001
"L,b,V,G,Orange_LAB,Orange_HSV",Elastic Net,78.64353904375633,0.6980260240514544
"L,a,b,H,R,B,Orange_RGB,Orange_LAB,Orange_HSV",Linear Regression,78.65752256428412,0.6979723303934263
"L,b,V,R,G,Orange_LAB,Orange_HSV",Elastic Net,78.65903049,0.6979665402994186
"L,b,V,R,G,Orange_RGB,Orange_LAB,Orange_HSV",Elastic Net,78.66229740630291,0.6979539960452208
"L,R,Orange_RGB,Orange_HSV",Linear Regression,78.66372407836795,0.6979485179367698
"L,G,B,Orange_RGB,Orange_LAB,Orange_HSV",Huber Regressor,78.66842472732789,0.6979304684736705
"L,b,G,Orange_LAB,Orange_HSV",Elastic Net,78.68160860509603,0.6978798452688088
"L,b,R,G,Orange_RGB,Orange_LAB,Orange_HSV",Elastic Net,78.69244630733478,0.6978382308644346
"L,b,V,Orange_RGB,Orange_LAB,Orange_HSV",Elastic Net,78.70979795882452,0.6977716043207497
"L,R,G,B",Huber Regressor,78.73067905537512,0.6976914254805777
"a,b,S,V,G,B,Orange_LAB,Orange_HSV",Linear Regression,78.73126364344552,0.6976891807903456
