Feature Set,Model,MSE,R2 Score
R_Mean,Linear Regression,129.14196421476547,0.5041231247993587
R_Mean,Ridge Regression,129.31724356335363,0.5034500904669974
R_Mean,Lasso Regression,129.60284682561723,0.5023534364544965
R_Mean,Polynomial Regression,132.0490261276736,0.4929606433693072
R_Mean,Elastic Net,131.85673987324563,0.4936989804975176
R_Mean,Huber Regressor,134.31149305094294,0.4842732656065697
R_Mean,Quantile Regressor,180.11766117862973,0.30838760633087237
R_Mean,Random Forest,218.4526945000003,0.16118946938368595
G_Mean,Linear Regression,133.4358426959077,0.48763557130219237
G_Mean,Ridge Regression,133.63169708246093,0.48688353332763556
G_Mean,Lasso Regression,133.96926196271878,0.48558735807571385
G_Mean,Polynomial Regression,132.04169870035125,0.49298877908635297
G_Mean,Elastic Net,136.42620592512836,0.47615323105100316
G_Mean,Huber Regressor,135.78664940610304,0.47860898809401253
G_Mean,Quantile Regressor,187.1960634552977,0.2812080909525094
G_Mean,Random Forest,163.21350497058856,0.37329586608451004
B_Mean,Linear Regression,170.23112899955024,0.3463497258738242
B_Mean,Ridge Regression,170.28880930060737,0.3461282461431824
B_Mean,Lasso Regression,170.41501819928126,0.3456436315976512
B_Mean,Polynomial Regression,170.90909367253127,0.3437464899266368
B_Mean,Elastic Net,171.28449519775992,0.34230503023994374
B_Mean,Huber Regressor,177.30364909799252,0.3191927967723206
B_Mean,Quantile Regressor,228.14458605761914,0.12397472722301173
B_Mean,Random Forest,265.4101022205884,-0.019116697938379668
H_Mean,Linear Regression,249.64777803829898,0.04140717676755834
H_Mean,Ridge Regression,249.67863706406544,0.041288684863227676
H_Mean,Lasso Regression,249.8126975008058,0.040773922130114104
H_Mean,Polynomial Regression,248.5842943278986,0.04549072143366795
H_Mean,Elastic Net,250.1652852775249,0.039420062244084786
H_Mean,Huber Regressor,263.65980580588837,-0.012395942821530337
H_Mean,Quantile Regressor,292.80426470588236,-0.12430428567984775
H_Mean,Random Forest,366.58614435294146,-0.40761055369486
S_Mean,Linear Regression,270.02854632046564,-0.03685051236857784
S_Mean,Ridge Regression,270.0360149539262,-0.03687919028628639
S_Mean,Lasso Regression,270.35860688726865,-0.03811787269942313
S_Mean,Polynomial Regression,270.89827210706414,-0.04019006901820932
S_Mean,Elastic Net,270.2835229077446,-0.037829566652892055
S_Mean,Huber Regressor,286.88920245369343,-0.10159174135649507
S_Mean,Quantile Regressor,292.80426470588236,-0.12430428567984775
S_Mean,Random Forest,345.1302159705892,-0.3252244851116386
V_Mean,Linear Regression,131.96877807825518,0.4932687783138895
V_Mean,Ridge Regression,132.15826063685634,0.49254120676396385
V_Mean,Lasso Regression,132.4778083698589,0.491314213413799
V_Mean,Polynomial Regression,134.0768192134669,0.4851743617756309
V_Mean,Elastic Net,134.8731521704387,0.482116617527094
V_Mean,Huber Regressor,135.8017220500514,0.47855111244044335
V_Mean,Quantile Regressor,189.54998091597943,0.2721695631433618
V_Mean,Random Forest,196.55276404411788,0.24528040874336998
L_Mean,Linear Regression,127.79060221770177,0.509312059073693
L_Mean,Ridge Regression,127.97932144464245,0.508587418550261
L_Mean,Lasso Regression,128.2898020725979,0.5073952408988134
L_Mean,Polynomial Regression,127.95262286606537,0.5086899352480485
L_Mean,Elastic Net,130.69095481350936,0.4981753399527311
L_Mean,Huber Regressor,130.5371106853521,0.49876606773051
L_Mean,Quantile Regressor,178.62835438784072,0.3141062184189105
L_Mean,Random Forest,160.441130867647,0.3839411758055825
a_Mean,Linear Regression,209.17604690989106,0.19680976560026608
a_Mean,Ridge Regression,209.05002457833973,0.19729366376888335
a_Mean,Lasso Regression,208.78451067315834,0.19831317904747015
a_Mean,Polynomial Regression,208.02654640124106,0.20122359594377048
a_Mean,Elastic Net,207.6227899533549,0.20277393232696916
a_Mean,Huber Regressor,218.30265924756327,0.16176557191240926
a_Mean,Quantile Regressor,232.6115603048899,0.10682252387217328
a_Mean,Random Forest,313.86768160294116,-0.20518319607486024
b_Mean,Linear Regression,243.40062431467857,0.06539487965099289
b_Mean,Ridge Regression,243.34654169908887,0.0656025450569232
b_Mean,Lasso Regression,243.18004172689706,0.0662418685056062
b_Mean,Polynomial Regression,245.25807577026492,0.05826267263189189
b_Mean,Elastic Net,242.7207904787531,0.0680052927747532
b_Mean,Huber Regressor,258.17219392529796,0.00867528563783948
b_Mean,Quantile Regressor,274.56288826778524,-0.054261392941749254
b_Mean,Random Forest,437.82309089705745,-0.6811448356451149
"R_Mean,G_Mean",Linear Regression,133.36618111362205,0.4879030565302155
"R_Mean,G_Mean",Ridge Regression,130.93274657292588,0.49724691252143294
