Feature Set,Model,R2 Score,MSE
L,Linear Regression,0.5776726472876013,109.98735088994265
L,Ridge Regression,0.5776910306189291,109.98256329117524
L,Lasso Regression,0.5763614922531466,110.32881697761015
L,Random Forest,0.4919929422796938,132.30104598529428
L,XGBoost,0.49690111528392833,131.02280307022335
L,LightGBM,0.5601489659282269,114.5510697165316
a,Linear Regression,0.2151797823769902,204.39191567117484
a,Ridge Regression,0.22732467269173517,201.2290035273399
a,Lasso Regression,0.23145442799088878,200.15348511192025
a,Random Forest,0.2089407257589878,206.01676261764712
a,XGBoost,0.06281113596847332,244.07351258770615
a,LightGBM,0.2834302428672172,186.61734507297174
b,Linear Regression,0.6027715144634264,103.45081496993214
b,Ridge Regression,0.6145115766916388,100.39333281664263
b,Lasso Regression,0.6128414967015481,100.82827427308548
b,Random Forest,0.47253929382954296,137.36738905882336
b,XGBoost,0.3800368792002572,161.45793273461194
b,LightGBM,0.5673152902680998,112.68473303552223
H,Linear Regression,0.009749480455878201,257.89243974499925
H,Ridge Regression,0.009666900146117152,257.9139462599052
H,Lasso Regression,0.010890286048418685,257.595338020003
H,Random Forest,-0.016163766448599848,264.64106580882293
H,XGBoost,-0.17052595693788475,304.84184442390574
H,LightGBM,0.04985274125828465,247.44828691100338
S,Linear Regression,0.4900461648622769,132.80804817101316
S,Ridge Regression,0.4927872126434143,132.09419295378936
S,Lasso Regression,0.4934223980253406,131.9287706645784
S,Random Forest,0.4960715449042927,131.2388493382353
S,XGBoost,0.39425557556671853,157.75493614580108
S,LightGBM,0.46789111012782336,138.57792256682015
V,Linear Regression,0.5654444755009324,113.17195215340556
V,Ridge Regression,0.5655070813529649,113.1556476167208
V,Lasso Regression,0.5641196574374308,113.51697652438185
V,Random Forest,0.514171749848457,126.52498560294137
V,XGBoost,0.3615309590644814,166.2774574905681
V,LightGBM,0.5750257683843524,110.6766815639449
R,Linear Regression,0.5452334733536239,118.43553399516043
R,Ridge Regression,0.5452465574457204,118.43212648527684
R,Lasso Regression,0.5440084509671929,118.75456842709832
R,Random Forest,0.4959363362730156,131.27406192647075
R,XGBoost,0.3193596302077175,177.26020041421364
R,LightGBM,0.582747373112405,108.6657323720366
G,Linear Regression,0.5811266514533036,109.087819363726
G,Ridge Regression,0.5811129936109627,109.09137629625309
G,Lasso Regression,0.5797710140548276,109.44087006069857
G,Random Forest,0.568081666387942,112.48514454411765
G,XGBoost,0.4589363283332849,140.91002992632025
G,LightGBM,0.5864469338810356,107.70225016851678
B,Linear Regression,0.502014668419071,129.69107269719132
B,Ridge Regression,0.5022432350994892,129.63154673109076
B,Lasso Regression,0.5028125589236345,129.48327686693415
B,Random Forest,0.3496796136429522,169.36392129411746
B,XGBoost,0.20089777097710737,208.11140148985163
B,LightGBM,0.32547603302710926,175.66729638192663
"L,a",Linear Regression,0.6364597602904192,94.67733418342158
"L,a",Ridge Regression,0.6423762484944711,93.1364942166141
"L,a",Lasso Regression,0.6448061797156137,92.50366355541783
"L,a",Random Forest,0.566061201855973,113.01133717647055
"L,a",XGBoost,0.4882600716341401,133.27320313041503
"L,a",LightGBM,0.6306565391508493,96.18867583740264
"L,b",Linear Regression,0.623477872550388,98.0582268319946
"L,b",Ridge Regression,0.6445748288361905,92.56391461467409
"L,b",Lasso Regression,0.6472850530356562,91.85808682942044
"L,b",Random Forest,0.6188253679723102,99.26988563235312
"L,b",XGBoost,0.5556336356056,115.72700401817978
"L,b",LightGBM,0.6393073649273167,93.93572820317252
"L,H",Linear Regression,0.5397087933180493,119.87433476836352
"L,H",Ridge Regression,0.5467172957365263,118.04909988891924
"L,H",Lasso Regression,0.5631961327968006,113.75749144261324
"L,H",Random Forest,0.5329671494219848,121.63007127941174
"L,H",XGBoost,0.5096030022565845,127.71483144476888
"L,H",LightGBM,0.5671977833365229,112.71533554334547
"L,S",Linear Regression,0.6221114254065525,98.41409272729202
"L,S",Ridge Regression,0.6299585019483837,96.37046672124839
"L,S",Lasso Regression,0.6366655422159055,94.62374208549109
"L,S",Random Forest,0.5943585647692055,105.64181217647075
"L,S",XGBoost,0.5186749719589356,125.3522046612867
"L,S",LightGBM,0.5428619613180398,119.05315045955068
"L,V",Linear Regression,0.6254927810855467,97.5334811562899
"L,V",Ridge Regression,0.6007055444308221,103.98885866860512
"L,V",Lasso Regression,0.575621666089449,110.521491023801
"L,V",Random Forest,0.534729399346378,121.1711258676472
"L,V",XGBoost,0.5205980497459437,124.85137460614142
