Label,Weight,R_Mean,R_Std,G_Mean,G_Std,B_Mean,B_Std,H_Mean,H_Std,S_Mean,S_Std,V_Mean,V_Std,L_Mean,L_Std,a_Mean,a_Std,b_Mean,b_Std
0_5_1,158.9,202.0310167567592,63.18479062019443,206.3612712008749,55.76186887034828,195.55256595578743,74.08719398771372,48.60322243213928,56.316379345199465,26.94252798022447,50.14670812442365,207.0038617640204,55.87093321484005,208.44228947038152,55.78484631866578,124.3887670100043,7.205788530535367,133.45880082831326,10.99518074386262
1_5_1,154.5,196.3880494634789,57.66947355497594,200.36384606506385,50.61508034,189.85562652395296,68.51609207990455,63.28003072558089,57.69056780082985,26.16449559398308,48.08356552461821,201.37272174636044,50.92227797,203.3030912,50.91081468,124.57090213532705,7.112593155729408,133.31762989457832,10.926267486773302
2_5_1,149.7,196.58695557901248,56.81622935427324,200.40557122463068,50.129377765646005,190.6061733541308,67.04404812990754,63.87006603422619,57.06822706024144,24.570594431296616,45.595465652292326,201.4483909970238,50.42427928963102,203.43308641933808,50.29812860977471,124.7474031729597,6.862491955439447,132.9484861880558,10.475270235002949
3_5_1,148.4,206.84082176921973,58.39191726871218,210.81665669373925,51.43781753307779,201.51756109258463,68.72520683478253,52.67489214671185,54.52821598430363,22.99877142498566,45.66159017368434,211.5417252155945,51.58847633318983,212.92722385076016,51.47803326269189,124.80493637496414,6.758229436938751,132.64422808421185,10.385136587553012
4_5_1,147.5,207.42101391055292,58.11878868453053,211.12224058062608,51.42055458901381,202.13550944850832,68.41275039403224,53.72777930920109,56.38080284852101,22.43408029439185,44.96888340955477,211.88409390911863,51.545167493997546,213.27561299887049,51.336970584290135,124.95291993868332,6.614468067943951,132.5173040375789,10.255598472572132
5_5_1,147.2,198.7358734043316,55.52437851304059,202.0409952309237,49.09205756988931,192.8457543343015,65.86389338,62.852090785015065,58.94233637197876,23.49715211291595,45.67442505,203.1258604171149,49.31864510398954,205.1281111051348,49.22889463887861,125.0544174,6.675555199534841,132.6859368836955,10.38269079118313
6_5_1,146.5,201.34230767937825,54.480741321229694,204.78775442170468,47.90592941887724,195.53054713272732,65.39439542,63.635126499300775,57.97933138700153,23.223510055848397,46.09828086597253,205.8596516646945,48.129592168279366,207.69898024015703,48.02579121275783,125.01509245688108,6.787085792225344,132.6826190364135,10.686556259927771
7_5_1,145.8,208.03182450785283,55.3685089,211.4774442636618,48.563615636043245,201.85085772778612,67.01858979985388,57.131870394524526,59.51818144720124,22.915891075462564,47.05966979606444,212.3652213205501,48.69842941016661,213.80321049824295,48.484338085219015,124.9791276153722,6.931625041135993,132.84910333297475,11.062537709414014
8_5_1,144.8,206.2113835,54.12488668988518,209.8228122870948,47.00017069,199.84978815933377,66.54631104354121,61.24183032352625,59.25763787519858,23.88574252366609,48.85963863020439,210.73624094592657,47.192080239521104,212.3075293360944,47.20793889943151,124.8710306628299,7.079543753942397,133.01555855116897,11.489081724334913
0_5_2,153.9,186.3438033943811,50.15763325420664,190.14014159315835,42.94336317,179.94035987700804,60.86472742643664,82.19485313,56.36553543112852,26.102711123511902,46.39580579405829,191.53782871441123,43.58992322816113,194.2314204922368,44.07812062410861,124.67903337681082,7.1024678804630925,133.1809027,10.819255482103593
